Cluster	comparison	change	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0046879	hormone secretion	7/38	312/18670	2.75319759512371e-06	0.000967513244467089	0.000747169598530905	CHGA/GCG/SCT/CACNA1A/NEUROD1/SCG5/CPE	7
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0002065	columnar/cuboidal epithelial cell differentiation	5/38	112/18670	3.04383494482e-06	0.000967513244467089	0.000747169598530905	PYY/INSM1/NEUROD1/PAX6/MCOLN3	5
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0009914	hormone transport	7/38	322/18670	3.39081744556223e-06	0.000967513244467089	0.000747169598530905	CHGA/GCG/SCT/CACNA1A/NEUROD1/SCG5/CPE	7
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0030072	peptide hormone secretion	6/38	250/18670	1.0465379359847e-05	0.00223959118300727	0.00172954164157472	CHGA/GCG/SCT/CACNA1A/NEUROD1/CPE	6
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0046883	regulation of hormone secretion	6/38	266/18670	1.48846178088193e-05	0.00254824656886987	0.00196790315451338	CHGA/GCG/SCT/CACNA1A/NEUROD1/SCG5	6
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0035883	enteroendocrine cell differentiation	3/38	27/18670	2.19984309616204e-05	0.00313844281719118	0.00242368677963116	INSM1/NEUROD1/PAX6	3
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0023061	signal release	7/38	462/18670	3.5259258690252e-05	0.00386998783263992	0.00298862808521627	CHGA/GCG/SCT/CACNA1A/NEUROD1/SCG5/CPE	7
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0019933	cAMP-mediated signaling	5/38	187/18670	3.66767259695122e-05	0.00386998783263992	0.00298862808521627	CHGA/GCG/SCT/GNG2/DEFB1	5
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0016486	peptide hormone processing	3/38	33/18670	4.06891244085973e-05	0.00386998783263992	0.00298862808521627	PCSK1N/SCG5/CPE	3
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0007218	neuropeptide signaling pathway	4/38	104/18670	5.79724229258978e-05	0.0047370641815884	0.00365823451308106	PYY/PCSK1N/SCG5/CPE	4
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0090276	regulation of peptide hormone secretion	5/38	208/18670	6.08734883148043e-05	0.0047370641815884	0.00365823451308106	CHGA/GCG/SCT/CACNA1A/NEUROD1	5
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0019935	cyclic-nucleotide-mediated signaling	5/38	215/18670	7.12048180087018e-05	0.00507927701795406	0.00392251102714603	CHGA/GCG/SCT/GNG2/DEFB1	5
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0031018	endocrine pancreas development	3/38	45/18670	0.000104055762964345	0.00679659564264247	0.00524872363942384	INSM1/NEUROD1/PAX6	3
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0002067	glandular epithelial cell differentiation	3/38	46/18670	0.000111159274529199	0.00679659564264247	0.00524872363942384	INSM1/NEUROD1/PAX6	3
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0009950	dorsal/ventral axis specification	2/38	11/18670	0.00021930916863829	0.0125152432236251	0.0096649935371822	PAX6/CXXC4	2
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0019932	second-messenger-mediated signaling	6/38	439/18670	0.000238210869013066	0.012744281492199	0.00984187011448719	CHGA/GCG/SCT/NEUROD1/GNG2/DEFB1	6
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0021543	pallium development	4/38	172/18670	0.000402095095615679	0.0202466706968836	0.015635648300102	SCT/NEUROD1/PAX6/BNIP3	4
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0050796	regulation of insulin secretion	4/38	176/18670	0.000438621010612144	0.0208588658379998	0.0161084207406097	CHGA/GCG/CACNA1A/NEUROD1	4
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0031016	pancreas development	3/38	78/18670	0.00053262915176061	0.023996344942478	0.0185313632856323	INSM1/NEUROD1/PAX6	3
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0023019	signal transduction involved in regulation of gene expression	2/38	20/18670	0.000748906060968516	0.0294847931449821	0.0227698599299665	NEUROD1/PAX6	2
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0030073	insulin secretion	4/38	207/18670	0.000806495325432469	0.0294847931449821	0.0227698599299665	CHGA/GCG/CACNA1A/NEUROD1	4
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0015844	monoamine transport	3/38	90/18670	0.000808795436758711	0.0294847931449821	0.0227698599299665	CHGA/SLC29A4/RAB3B	3
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0009713	catechol-containing compound biosynthetic process	2/38	21/18670	0.000826676443317255	0.0294847931449821	0.0227698599299665	INSM1/GCH1	2
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0042423	catecholamine biosynthetic process	2/38	21/18670	0.000826676443317255	0.0294847931449821	0.0227698599299665	INSM1/GCH1	2
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0002068	glandular epithelial cell development	2/38	25/18670	0.00117492000168471	0.0372493156089672	0.0287660725558674	INSM1/PAX6	2
