Cluster	comparison	change	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-420092	Glucagon-type ligand receptors	3/22	33/10654	4.00581870180501e-05	0.00576837893059921	0.00451181685361196	GCG/GNG2/SCT	3
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-186712	Regulation of beta-cell development	3/22	42/10654	8.32776763568343e-05	0.00599599269769207	0.00468984808956909	INSM1/NEUROD1/PAX6	3
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-422356	Regulation of insulin secretion	3/22	78/10654	0.000525921957376703	0.0180566519448737	0.0141232584656541	CACNA1A/GCG/GNG2	3
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-381771	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	2/22	20/10654	0.000756183104671187	0.0180566519448737	0.0141232584656541	GCG/PAX6	2
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-2980736	Peptide hormone metabolism	3/22	90/10654	0.000799225762753943	0.0180566519448737	0.0141232584656541	CPE/GCG/PAX6	3
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-210745	Regulation of gene expression in beta cells	2/22	21/10654	0.000834736799072004	0.0180566519448737	0.0141232584656541	NEUROD1/PAX6	2
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-373080	Class B/2 (Secretin family receptors)	3/22	95/10654	0.000935375035557462	0.0180566519448737	0.0141232584656541	GCG/GNG2/SCT	3
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-400508	Incretin synthesis, secretion, and inactivation	2/22	23/10654	0.00100314733027076	0.0180566519448737	0.0141232584656541	GCG/PAX6	2
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-163685	Integration of energy metabolism	3/22	108/10654	0.00135587127759226	0.0216939404414761	0.0169682136494002	CACNA1A/GCG/GNG2	3
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-163359	Glucagon signaling in metabolic regulation	2/22	33/10654	0.00206752457127595	0.0296542415928957	0.0231944725909345	GCG/GNG2	2
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-500792	GPCR ligand binding	5/22	468/10654	0.00226525456612397	0.0296542415928957	0.0231944725909345	GCG/GNG2/GPBAR1/PYY/SCT	5
EEC_vs_goblet.up	EEC_vs_goblet	up	R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	2/22	42/10654	0.00333379843241746	0.0400055811890095	0.0312909151112867	GCG/GNG2	2
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-5661231	Metallothioneins bind metals	7/78	11/10654	2.76034031941638e-13	7.64614268478339e-11	6.47953569715636e-11	MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-5660526	Response to metal ions	7/78	14/10654	2.82079671446207e-12	3.90680344952996e-10	3.31072456486864e-10	MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-156842	Eukaryotic Translation Elongation	6/78	93/10654	5.82692543184205e-05	0.00538019448206749	0.0045593135835115	EEF1G/RPL17/RPL36A/RPS17/RPS29/RPS4Y1	6
