p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
0	298.763551271779	0.501	0.264	0	TA	G2E3	431.024693818171
0	205.763584770441	1	0.99	0	TA	HMGB1	296.854103343852
0	199.456777349901	0.999	0.992	0	TA	NDUFA4	287.755303554396
0	171.76329465047	0.997	0.999	0	TA	MT-ND5	247.802053398983
0	159.763630056798	0.998	0.916	0	TA	TUBA1B	230.490196797361
0	148.761154135706	0.978	0.85	0	TA	UBE2S	214.616979348501
0	147.756920770911	0.993	0.954	0	TA	TUBB4B	213.168176853217
0	133.76350665463	1	0.998	0	TA	TXN	192.979947702552
0	123.763630169341	0.95	0.831	0	TA	HIST1H4C	178.553175487723
0	112.069244377147	1	0.998	0	TA	PFN1	161.681743099083
0	99.7636301637379	1	1	0	TA	RPL35	143.928494498305
0	98.7636301693406	1	0.999	0	TA	PPIA	142.485799465499
0	87.7611556614824	1	0.979	0	TA	H2AFZ	126.612584055505
0	83.7540370113802	0.986	0.923	0	TA	YWHAQ	120.831533850749
0	83.0426916069412	0.954	0.716	0	TA	CKS2	119.805279363406
0	81.7660891919946	0.81	0.19	0	TA	UBE2C	117.963531390175
0	77.3494568257023	0.996	0.959	0	TA	SNRPB	111.591677777896
0	76.7636293376018	0.998	0.98	0	TA	HSPD1	110.746507365997
0	71.7635825109609	0.994	0.916	0	TA	TUBB	103.532964604989
0	71.6798777490787	0.992	0.972	0	TA	DYNLL1	103.412204160123
0	65.7635868750651	0.887	0.214	0	TA	CENPF	94.8768006557269
0	64.744077026476	0.911	0.221	0	TA	MKI67	93.40595885303
0	61.7632760469046	0.977	0.93	0	TA	CCT4	89.1055720619253
0	61.6189113015577	0.551	0.1	0	TA	HIST1H1B	88.8972977597341
0	61.4010778213095	0.985	0.947	0	TA	NDUFC2	88.5830304780406
0	60.7635067663701	0.993	0.954	0	TA	CYCS	87.6632098788651
0	60.7150428177666	0.999	0.992	0	TA	HSP90AB1	87.593291180553
0	53.7817740729451	0.777	0.198	0	TA	CCNB1	77.5906987452486
0	52.7636301714015	0.999	0.991	0	TA	HSPE1	76.1218275875803
0	50.7703456461406	0.846	0.507	0	TA	KPNA2	73.2461258879056
0	50.7611544843039	0.986	0.911	0	TA	NME1	73.2328658443038
0	48.7636301693803	0.998	0.976	0	TA	NCL	70.3510474211084
0	46.070482988777	0.998	0.987	0	TA	CALM2	66.4656573392679
0	45.5422036179941	0.795	0.366	0	TA	PCNA	65.7035113108354
0	42.7635823906203	0.996	0.965	0	TA	SNRPG	61.6948082455945
0	42.45802969139	0.906	0.341	0	TA	PTTG1	61.2539888816848
0	40.763631921221	0.872	0.195	0	TA	TOP2A	58.8094896213686
0	40.7636301543889	0.996	0.981	0	TA	PHB	58.8094870723686
0	39.7636301700989	0.842	0.6	0	TA	ARL6IP1	57.3667920541444
0	39.7632493734126	0.991	0.925	0	TA	PA2G4	57.3662426806536
0	38.8908532473975	0.997	0.968	0	TA	EIF5A	56.1076411159608
0	38.6332785921547	0.99	0.949	0	TA	ENY2	55.7360394381833
0	38.4697008204615	0.708	0.088	0	TA	HMMR	55.5000465981619
0	37.457233189774	0.991	0.948	0	TA	JPT1	54.0393645683084
0	37.1237233268259	0.971	0.9	0	TA	NQO1	53.5582115429456
0	36.8114734999023	0.812	0.135	0	TA	NUSAP1	53.1077302661245
0	36.7632841137324	0.915	0.728	0	TA	BUB3	53.0382076776738
0	34.763630169238	1	0.997	0	TA	YBX1	50.1533168484576
0	34.7631259749281	0.992	0.97	0	TA	SPCS2	50.1525894498271
0	34.7628271003697	0.809	0.364	0	TA	CKAP2	50.1521582649838
0	34.613842922919	0.984	0.904	0	TA	HDGF	49.9372195310049
0	33.9006037443435	0.992	0.872	0	TA	H2AFV	48.9082329051062
0	33.7636134518103	0.998	0.983	0	TA	PTGES3	48.7105976894186
0	33.4116249188556	0.892	0.46	0	TA	MCM7	48.2027855784752
0	32.9138769855449	0.899	0.731	0	TA	ITGB1BP1	47.484687103475
0	32.7608198912359	1	0.991	0	TA	HNRNPA2B1	47.2638723925425
0	32.4228011159357	0.797	0.259	0	TA	ATAD2	46.7762143816896
0	32.0775966056127	0.875	0.262	0	TA	TPX2	46.2781895465541
0	32.0768965092653	0.972	0.882	0	TA	CENPX	46.2771795210255
0	32.0099998508256	0.675	0.178	0	TA	AURKA	46.1806680436426
0	31.7635070765496	0.993	0.886	0	TA	LSM4	45.8250541405796
0	30.5703638972218	0.98	0.839	0	TA	GCHFR	44.1037123926929
0	30.2140516356229	0.93	0.366	0	TA	HMGB2	43.5896624598762
0	30.0283045052953	0.998	0.982	0	TA	RAN	43.3216859960932
0	29.9928338956552	0.957	0.748	0	TA	SIVA1	43.2705127234682
0	29.8964706597641	0.997	0.977	0	TA	TPM3	43.1314899609241
0	29.763299962311	0.983	0.914	0	TA	RAD21	42.9393652561167
0	29.5255860672375	0.838	0.659	0	TA	MRPL48	42.5964165985439
0	28.7661109145961	0.987	0.816	0	TA	NUCKS1	41.5007255621496
0	28.6370354930024	0.984	0.911	0	TA	PPM1G	41.3145090915158
0	28.4145565691456	0.935	0.837	0	TA	PSMD2	40.9935398513653
0	28.2175628989926	0.983	0.922	0	TA	TUBA1C	40.709338060349
0	28.115976739424	0.863	0.607	0	TA	ACTL6A	40.5627802117164
0	27.7633006110095	0.991	0.966	0	TA	KIF5B	40.053976110213
0	27.7397287503452	0.984	0.928	0	TA	PDAP1	40.019969103728
0	27.2134125624497	0.685	0.435	0	TA	HIST1H1E	39.2606553495117
0	27.0971188222592	0.74	0.08	0	TA	ASPM	39.0928789472523
0	27.0423725958236	0.67	0.081	0	TA	CDK1	39.0138968378663
0	26.9752685625387	0.958	0.364	0	TA	PCLAF	38.9170861818226
0	26.7810311287488	0.761	0.29	0	TA	MCM3	38.6368607993389
0	26.7691235096939	0.986	0.958	0	TA	JTB	38.6196817363795
0	26.7632736488615	0.98	0.917	0	TA	PGAM1	38.6112421711667
0	26.0531883408067	0.868	0.592	0	TA	CKLF	37.586805618628
