comparison	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	avg_log2FC
EEC_vs_Goblet	PYY	3.79318414287007e-24	5.73925796726332	0.5	0.015	7.37812247629658e-20	8.27999900775326
EEC_vs_Goblet	CHGA	1.0541601117105e-105	4.40145884586507	0.75	0.003	2.05044683328809e-101	6.3499628496064
EEC_vs_Goblet	PCSK1N	1.69394751222448e-153	4.27870137560279	1	0.003	3.29489730602783e-149	6.17286125602693
EEC_vs_Goblet	GCG	1.17969903597159e-20	3.37229170616787	0.375	0.009	2.29463259486834e-16	4.86518852091936
EEC_vs_Goblet	TPH1	2.53294128192675e-27	2.40603526776194	0.25	0.002	4.92682408747572e-23	3.47117514900409
EEC_vs_Goblet	CRYBA2	1.40306250029405e-38	2.30722192584127	0.875	0.03	2.72909686932195e-34	3.32861763064149
EEC_vs_Goblet	SCT	1.12502667624112e-68	2.25491499097592	0.75	0.008	2.1882893879566e-64	3.25315467510714
EEC_vs_Goblet	FEV	1.72194812006492e-183	2.19722457733622	0.875	0	3.34936128833828e-179	3.16992500144231
EEC_vs_Goblet	TUBA1A	7.19000856508704e-13	2.12295222612402	0.875	0.115	1.39852856599508e-08	3.06277264867331
EEC_vs_Goblet	SCGN	1.65882372583457e-113	2.03928943256888	1	0.007	3.22657802912082e-109	2.94207275130439
EEC_vs_Goblet	INSM1	6.26383710732534e-161	2.03037802613857	0.875	0.001	1.21837895574585e-156	2.92921630944004
EEC_vs_Goblet	MS4A8	3.34233027403646e-26	1.98233309185684	1	0.068	6.50116661602831e-22	2.85990212101195
EEC_vs_Goblet	CACNA1A	3.72252072538549e-60	1.88763239524869	0.875	0.016	7.24067506294733e-56	2.72327789564665
EEC_vs_Goblet	NEUROD1	2.12140404419701e-157	1.81237875643079	0.75	0	4.1263430063676e-153	2.61470984411521
EEC_vs_Goblet	C2CD4B	2.93250031866887e-25	1.78721285871846	0.625	0.023	5.70400636984283e-21	2.57840312828611
EEC_vs_Goblet	SCG5	1.56989961027027e-13	1.7407144061934	0.75	0.078	3.0536117319367e-09	2.51132004141919
EEC_vs_Goblet	CPE	1.60380995736861e-44	1.72522788877296	0.75	0.017	3.11957074807768e-40	2.48897771953608
EEC_vs_Goblet	BEX3	4.90047111372066e-07	1.46924800563459	1	0.416	0.00953190636329806	2.11967681156503
EEC_vs_Goblet	GCH1	8.59426649857225e-07	1.46802625838427	0.625	0.119	0.0167167077663729	2.11791420286577
EEC_vs_Goblet	EGR3	2.65090200558841e-09	1.46274920128343	0.375	0.026	5.15626949107002e-05	2.11030101875589
EEC_vs_Goblet	PRPH	1.50383169140018e-118	1.41390645949628	0.75	0.002	2.92510302294249e-114	2.03983583739615
EEC_vs_Goblet	RTN1	2.31978365438219e-105	1.21639532432449	0.5	0	4.51221118613881e-101	1.75488750216347
EEC_vs_Goblet	BEX2	2.00806932121286e-10	1.20820114043546	0.625	0.068	3.90589563669114e-06	1.74306579370262
EEC_vs_Goblet	EGR2	4.57671393480806e-07	1.11802118195465	0.5	0.066	0.00890216627459516	1.61296361481479
EEC_vs_Goblet	CAMK1D	4.16708499280208e-08	1.10587184868091	0.625	0.085	0.000810539701949933	1.59543583195066
EEC_vs_Goblet	SMIM24	2.99605318405839e-08	1.04166226242985	0.75	0.13	0.000582762304831198	1.50280098028873
EEC_vs_Goblet	KCTD12	2.10283072093197e-08	1.01909402378614	0.625	0.088	0.000409021603528477	1.47024189431584
EEC_vs_Goblet	PAX6	1.11391651902893e-109	1.00949342933892	0.625	0.001	2.16667902116318e-105	1.45639116431725
EEC_vs_Goblet	SLC29A4	2.07393129681341e-10	0.966232306648629	0.5	0.043	4.03400376543177e-06	1.39397855714868
EEC_vs_Goblet	LRMP	2.23309941440147e-14	0.964026599688681	0.125	0.001	4.34360167095231e-10	1.39079639465591
