p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
0	179.996737967993	0.746	0.285	0	cluster_9	G2E3	259.680401242613
0	95.989273512659	0.966	0.842	0	cluster_9	TUBB4B	138.483248875247
0	58.9966494312793	0.973	0.9	0	cluster_9	HMGB1	85.1141735635713
0	52.3061083948069	0.968	0.534	0	cluster_9	KPNA2	75.4617631893885
0	51.3060234627942	0.966	0.324	0	cluster_9	UBE2C	74.018945617506
0	42.9964436086987	0.961	0.346	0	cluster_9	TOP2A	62.0307559701316
0	41.9965236535349	0.968	0.582	0	cluster_9	ARL6IP1	60.5881764095309
0	39.8260769541202	0.949	0.36	0	cluster_9	CENPF	57.4568837197715
0	39.7428362976349	0.966	0.825	0	cluster_9	TUBB	57.3367928374598
0	36.6384856956079	0.959	0.841	0	cluster_9	JPT1	52.8581616187347
0	35.0165876822942	0.96	0.692	0	cluster_9	BUB3	50.5182573980994
0	31.9917022124098	0.957	0.826	0	cluster_9	RAD21	46.1542701314401
0	29.9966948300759	0.941	0.78	0	cluster_9	UBE2S	43.2760828744101
0	26.9949033791471	0.967	0.319	0	cluster_9	CCNB1	38.9454132343723
0	24.8371866491814	0.946	0.434	0	cluster_9	CKAP2	35.8324860084076
0	23.0452564615302	0.958	0.29	0	cluster_9	NUSAP1	33.2472772130639
0	18.9743568059882	0.952	0.753	0	cluster_9	NUCKS1	27.374210468057
0	17.9984941292786	0.962	0.668	0	cluster_9	CKS1B	25.9663382237793
0	16.5208731011312	0.965	0.63	0	cluster_9	STMN1	23.8345816941579
0	16.1253637510887	0.935	0.212	0	cluster_9	CDK1	23.2639823162263
0	15.3414969497741	0.935	0.229	0	cluster_9	ASPM	22.1331015692523
0	14.9692808526636	0.882	0.125	0	cluster_9	CENPA	21.5961072518119
0	14.6854824351937	0.912	0.169	0	cluster_9	GTSE1	21.1866726823159
0	13.996785584638	0.968	0.699	0	cluster_9	CKS2	20.1930931513433
0	13.6008890741564	0.943	0.202	0	cluster_9	PLK1	19.6219352189663
0	12.9892505007279	0.949	0.787	0	cluster_9	H2AFV	18.7395272822647
0	12.9767091647928	0.937	0.311	0	cluster_9	BIRC5	18.7214339591049
0	11.9594359595372	0.928	0.432	0	cluster_9	HMGB3	17.2538189506534
0	11.7122908384442	0.898	0.544	0	cluster_9	DDX39A	16.8972639100727
0	11.3900947118891	0.948	0.763	0	cluster_9	HP1BP3	16.432433156098
0	11.0548184959715	0.602	0.127	0	cluster_9	PBK	15.9487318220657
0	10.9347583849621	0.948	0.353	0	cluster_9	CCNB2	15.7755216953038
0	10.6998378877026	0.934	0.227	0	cluster_9	HMMR	15.4366030589043
0	10.6433660038883	0.879	0.169	0	cluster_9	CDCA3	15.3551313521758
0	9.99645159899131	0.952	0.497	0	cluster_9	SMC4	14.4218311483513
0	9.98844413008851	0.864	0.193	0	cluster_9	PRR11	14.4102788126752
0	9.81059900519763	0.88	0.134	0	cluster_9	NEK2	14.1537025329488
0	9.49610065171521	0.928	0.416	0	cluster_9	DBF4	13.699977318012
0	9.38702461440783	0.834	0.151	0	cluster_9	PRC1	13.5426138599088
0	9.24013744863759	0.878	0.111	0	cluster_9	FAM83D	13.3307004742818
0	8.9545647291601	0.89	0.508	0	cluster_9	FAM111A	12.9187061280785
0	8.70512882550864	0.936	0.206	0	cluster_9	CCNA2	12.5588461868609
0	8.68223692346226	0.903	0.121	0	cluster_9	DEPDC1	12.5258201533021
0	8.01963841081538	0.914	0.183	0	cluster_9	KIF23	11.569892565006
0	7.86451485068196	0.834	0.233	0	cluster_9	PARPBP	11.3460965740765
0	7.65472417557863	0.904	0.178	0	cluster_9	ANLN	11.0434326074802
0	7.63719200315612	0.777	0.15	0	cluster_9	SPC25	11.0181390292702
0	7.5927887749134	0.907	0.208	0	cluster_9	SGO2	10.9540787120849
0	7.5212751848985	0.91	0.176	0	cluster_9	NDC80	10.8509064104143
0	7.44192117693948	0.746	0.24	0	cluster_9	CNTRL	10.7364227766571
0	7.42718996510498	0.884	0.183	0	cluster_9	KIF11	10.7151701303972
0	7.06185001842944	0.92	0.198	0	cluster_9	ARHGAP11A	10.1880960010898
0	7.01415466646715	0.824	0.242	0	cluster_9	RRM2	10.1192861533403
0	7.00238027680674	0.945	0.514	0	cluster_9	DTYMK	10.1022992997678
0	6.99868154328413	0.941	0.272	0	cluster_9	AURKA	10.0969631552571
0	6.860364619355	0.931	0.403	0	cluster_9	H2AFX	9.89741401503356
0	6.76570202197027	0.837	0.057	0	cluster_9	PIF1	9.76084475522893
0	6.75091784592265	0.898	0.192	0	cluster_9	NCAPG	9.73951569776142
0	6.53599513002488	0.871	0.16	0	cluster_9	KIF18A	9.42944776136131
0	6.29688523189028	0.871	0.301	0	cluster_9	NCAPD2	9.08448509709506
0	6.29617425200012	0.949	0.231	0	cluster_9	CDC20	9.08345936993335
0	6.28300355648731	0.924	0.184	0	cluster_9	CENPE	9.06445807283196
0	6.2296877700865	0.91	0.434	0	cluster_9	CDC25B	8.98753965219041
0	6.22930658234327	0.874	0.307	0	cluster_9	KIF22	8.98698971452362
0	6.08592736440037	0.724	0.103	0	cluster_9	CDCA2	8.78013722783085
0	5.99274091329895	0.671	0.064	0	cluster_9	KIF20A	8.64569759694879
0	5.9818311612393	0.884	0.122	0	cluster_9	KIF14	8.62995815175501
0	5.95903506448219	0.935	0.581	0	cluster_9	LBR	8.5970703360119
0	5.95802363560078	0.733	0.128	0	cluster_9	DEPDC1B	8.59561115258047
0	5.76308007183684	0.768	0.103	0	cluster_9	CDC25C	8.31436703988502
0	5.74180879362779	0.711	0.08	0	cluster_9	PIMREG	8.28367907229945
0	5.73603719398447	0.843	0.239	0	cluster_9	SKA3	8.27535241411604
0	5.69899006908746	0.958	0.82	0	cluster_9	TUBA1C	8.22190471074793
0	5.56122511311745	0.908	0.527	0	cluster_9	UBALD2	8.0231518919617
0	5.44525720714648	0.969	0.847	0	cluster_9	HMGN2	7.85584556911512
0	5.42101290444849	0.738	0.132	0	cluster_9	NCAPH	7.82086843384291
0	5.4145757883768	0.934	0.171	0	cluster_9	DLGAP5	7.81158163840865
0	5.36796104779802	0.859	0.243	0	cluster_9	LMNB1	7.74433078334332
0	5.31993366045355	0.951	0.357	0	cluster_9	MAD2L1	7.67504190979461
0	5.24243267792337	0.912	0.214	0	cluster_9	KNL1	7.56323162663429
0	5.22154682289445	0.857	0.176	0	cluster_9	RACGAP1	7.53309970715934
