	features	ambiguous_features	spliced_features	unspliced_features	gene_count_corr	means	dispersions	dispersions_norm	velocity_gamma	velocity_r2	velocity_genes	spearmans_score	velocity_score	to 17	to 10	to 11	to 1
HES4	HES4	HES4	HES4	HES4	0.0825	0.72051793	1.2122295	2.6897554	0.008226072	-0.07565534114837646	False	0.20201291409962513	0	-0.0793931125544254	-0.015443525357555488	0.18677807293420726	-0.04186139741611433
C1QTNF12	C1QTNF12	C1QTNF12	C1QTNF12	C1QTNF12	0.0309	0.5282192	0.44284546	0.47393844	0.065808535	-0.07039439678192139	False	0.32057044622046627	0	-0.11423822842995447	-0.013571233430047343	0.03865872072614997	0.06911751028409867
CCNL2	CCNL2	CCNL2	CCNL2	CCNL2	-0.0434	0.5213032	0.29711163	0.040592175	0.15606317	-0.36778783798217773	False	0.09758230560333385	0	0.11052947361850601	-0.015473264643156879	-0.003992353782780595	-0.06835571644838247
SLC35E2B	SLC35E2B	SLC35E2B	SLC35E2B	SLC35E2B	-0.0334	0.01407502	0.2760169	0.029391993	2.8535192	-3.174746036529541	False	0.07043994573458658	0	0.093393397244703	-0.028197001355329914	-0.012476221556334526	-0.0428575206148974
MEGF6	MEGF6	MEGF6	MEGF6	MEGF6	-0.016	0.23369451	0.279093	0.038441442	0.44310403	0.11040574312210083	True	0.5147494477404736	0	-0.06570308600635154	-0.017082630010019556	-0.01698889316342847	0.06860396423376212
GPR153	GPR153	GPR153	GPR153	GPR153	-0.0671	0.36126506	0.37796527	0.2810142	0.23831871	-0.054524898529052734	False	0.2537480488850186	0	0.1332488978943141	0.0767731405857079	-0.020804837463373266	-0.1334042215911948
PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	-0.0499	0.1397369	0.28716817	0.062197626	0.5718824	-0.012083172798156738	False	0.43251261287864035	0	0.029373479136728952	-0.030303285695069095	-0.04362401655246174	0.023342981000826848
KLHL21	KLHL21	KLHL21	KLHL21	KLHL21	-0.0007	0.15688281	0.27937755	0.039278638	0.083727986	-0.12465274333953857	False	0.05159210424018459	0	0.07117697041495154	0.0028095201882372463	0.03220851421664309	-0.07247841544560576
ENO1	ENO1	ENO1	ENO1	ENO1	0.1063	3.222955	1.8568541	0.45247993	0.027899263	-0.021637558937072754	False	0.6627149973954705	0	-0.1884032669068623	-0.21807386386286093	0.12520516063973292	0.20178110353533638
GPR157	GPR157	GPR157	GPR157	GPR157	-0.077	0.73425776	0.7517494	1.2813584	0.2551995	-0.7401121854782104	False	0.5121015325350636	0	-0.1087198918805196	-0.0123788773133665	-0.052020120356881916	0.11747812235744005
