	features	ambiguous_features	spliced_features	unspliced_features	gene_count_corr	means	dispersions	dispersions_norm	velocity_gamma	velocity_r2	velocity_genes	spearmans_score	velocity_score	to 10	to 17	to 1	to 3
HES4	HES4	HES4	HES4	HES4	0.0827	0.95870715	1.5461452	2.6932094	0.0026934007	-0.03886878490447998	False	0.22048767826763274	0	0.018112776396331846	-0.23942482400377435	0.18408054709153898	0.04216715545370827
C1QTNF12	C1QTNF12	C1QTNF12	C1QTNF12	C1QTNF12	0.0169	0.089520685	0.23838505	0.13515468	0.121856764	-0.06246650218963623	False	0.1997628260605338	0	-0.034127959374990996	-0.08779081485602261	0.10464246055160631	-0.020951607244167607
SLC35E2B	SLC35E2B	SLC35E2B	SLC35E2B	SLC35E2B	-0.033	0.026204139	0.22945574	0.10263681	2.2520194	-1.7401916980743408	False	0.15686682673628416	0	0.03720616059678872	0.021608717229545042	-0.03283037821586011	-0.016403887276654126
GPR153	GPR153	GPR153	GPR153	GPR153	-0.0827	0.058103003	0.5104332	1.1258714	0.15065858	0.515248566865921	True	0.4423189209889311	17	0.0634754200081579	0.2137647066405255	-0.21957855191892023	-0.00928202594500021
RERE	RERE	RERE	RERE	RERE	-0.0971	0.64797676	0.40319967	0.46012405	2.5711348	0.15724825859069824	True	0.6264833739488974	20	-0.009894571837688503	0.20832891392259426	-0.16475828732703987	-0.033322823422870476
ENO1	ENO1	ENO1	ENO1	ENO1	0.0193	2.5447888	1.0275148	0.054649062	0.027518557	0.02510082721710205	True	0.3700754141925004	0	-0.2053659812232318	-0.14615622411172816	0.18641731940459708	0.13617903790936448
CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	-0.0469	0.27440682	0.30528882	0.23784615	0.094836466	0.2755693197250366	True	0.31776888926122837	0	0.009197056865653225	0.1910604256412891	-0.16482361261787054	-0.021456185762890864
SRM	SRM	SRM	SRM	SRM	0.0478	1.1288311	0.49219614	0.11418369	0.0534577	-0.23563694953918457	False	0.320623062375653	0	0.015170984427559629	0.019278111599265485	-0.04581889114734578	0.050544046295233805
DHRS3	DHRS3	DHRS3	DHRS3	DHRS3	-0.0442	0.23947068	0.4391761	0.86637485	0.29098275	0.43134117126464844	True	0.3618091654460474	0	0.0144205115609051	0.08726118575608553	-0.08609433023485073	0.003039841485952482
AL450998.2	AL450998.2	AL450998.2	AL450998.2	AL450998.2	-0.0414	0.18136564	0.21487112	0.049524084	0.11052351	-0.17054414749145508	False	0.09583455872859693	0	-0.0031804857597464474	0.10253992372260592	-0.08654435396704994	-0.005246447126416472
ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	-0.016	0.14581537	0.21688959	0.056874696	0.073805034	0.01745760440826416	True	0.3693351321622964	0	-0.019778442342902287	0.10796578594234534	-0.08561843688503924	0.0031454153863799774
PADI2	PADI2	PADI2	PADI2	PADI2	-0.005	0.01644957	0.24692221	0.16624442	0.63434833	0.31819963455200195	True	0.4934967503703042	0	-0.022658598042372448	-0.03467833029824379	0.046966933939808844	-0.009739796555539972
UBR4	UBR4	UBR4	UBR4	UBR4	0.0356	1.2258006	0.7048401	0.6073274	0.15047808	-2.9007136821746826	False	0.15472822064970032	0	-0.01318384694402082	-0.11291413601164847	0.08338664765679597	0.057760757462257305
AKR7A3	AKR7A3	AKR7A3	AKR7A3	AKR7A3	0.0632	0.5617817	0.48832402	0.78938645	0.028236326	-0.3859208822250366	False	0.34248161735441357	0	-0.04029009454517352	-0.06500194443502914	0.07885834369276201	0.0014271089456388832
CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	0.0097	1.9671425	1.0559561	0.5413563	0.0074892538	-0.5710111856460571	False	0.24126115399324377	0	0.11457884466195198	0.157682754355755	-0.2007762393087915	-0.002885383293066749
RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	-0.1411	0.6921677	1.1063393	3.17988	0.13681744	0.8340815007686615	True	0.5129562331881213	0	0.40686141266712356	0.21433470348994452	-0.38106175706770146	-0.0772177019533775
WNT4	WNT4	WNT4	WNT4	WNT4	-0.0469	0.0682438	0.45883942	0.9379826	0.1317424	0.2136470079421997	True	0.3881564977062409	0	0.19698802239244886	-0.010461658937978789	-0.08469144836538581	-0.035105460334505637
TCEA3	TCEA3	TCEA3	TCEA3	TCEA3	-0.0279	0.30529386	0.6166591	1.3185073	0.11462353	0.48071038722991943	True	0.6280785891548931	0	0.1739177551789439	0.004820621975000302	-0.1022319964603744	0.0061636858716629635
