H508_EV_0	H508_EV_1	H508_EV_10	H508_EV_11	H508_EV_12	H508_EV_13	H508_EV_14	H508_EV_15	H508_EV_16	H508_EV_17	H508_EV_2	H508_EV_3	H508_EV_4	H508_EV_5	H508_EV_6	H508_EV_7	H508_EV_8	H508_EV_9	H508_LSD1_KD_0	H508_LSD1_KD_1	H508_LSD1_KD_10	H508_LSD1_KD_11	H508_LSD1_KD_12	H508_LSD1_KD_13	H508_LSD1_KD_14	H508_LSD1_KD_15	H508_LSD1_KD_16	H508_LSD1_KD_17	H508_LSD1_KD_2	H508_LSD1_KD_3	H508_LSD1_KD_4	H508_LSD1_KD_5	H508_LSD1_KD_6	H508_LSD1_KD_7	H508_LSD1_KD_8	H508_LSD1_KD_9
NEDD4L	ATXN1	CBFA2T2	SLC22A3	HIST1H2BD	MUC17	SLC26A3	PDE4D	PMEPA1	CASC15	KPNA2	AREG	SIDT1	TUFT1	EEFSEC	ARHGAP26	ATXN1	SYNE2	MXI1	ATF3	CRYBG1	LDLRAD3	LRRC59	HMGCS1	KRT18	ATF3	ATF3	CACNA2D1	KIF23	EPB41L2	PPP1R9A	RHOBTB3	LDHA	NEBL	ATF3	MELK
PDE4D	IFRD1	BAZ2B	PDE4D	ARID4B	TMEM45B	RABAC1	NEDD4L	LGALS3	PTPRN2	ANLN	ATXN1	NTN4	NABP1	CEP70	CD44	AL356124.1	MYBL2	ATF3	MXI1	LGR5	MYO7B	HIST1H2BD	ATF3	PTMA	MXI1	NAV2	NOL4	CDC25C	MXI1	OLFM2	UNC13C	PRR11	CDK6	FHOD3	CENPK
ZBTB20	FABP1	MCF2L	AL445472.1	ACVR1B	INSIG1	PHGR1	RUBCNL	ATXN1	PPM1L	KIF4A	NEDD4L	GPCPD1	TNFSF13B	ZNF107	CDK6	HMOX1	NCAPG2	S100A6	AUTS2	OLFM2	VILL	HIST1H2AC	CCNL1	HSPA8	GULP1	ACHE	RIMBP2	KIF11	ATF3	FAM227A	NFAT5	LRRC59	SH3PXD2A	KDM1A	RRM1
TET2	NABP1	PDE4D	NEDD4L	HIST1H2AC	COBL	ZFP36L1	ZBTB20	LAMA3	RIMBP2	BIRC5	FABP1	GPR173	MALAT1	SLC3A2	PTPRD	TESC	TP73	CRYBG1	PTPRR	AC116345.1	SYT7	BMPR2	GULP1	JUND	TBC1D4	LURAP1L	RETREG1	TPX2	TBC1D4	CRYBG1	ATF3	DNAJB6	BCL2L1	CRYBG1	PRKDC
CCDC146	MALAT1	NEDD4L	PCCA	IP6K2	ATP9A	VAT1	AREG	ATP9A	KIAA1211	EEFSEC	LGALS3	FGFR2	MALRD1	IKBIP	BPTF	TNFSF13B	RRM1	KRT18	CPEB4	ZBTB10	IER3	VMP1	PTPRR	ACTG1	EPB41L2	PGK1	KIAA1211	BUB1	CMSS1	TSPAN13	S100A6	SCD	CDH17	PRSS23	FANCI
SLC22A3	CCDC146	CASD1	BIN1	UBXN7	SLC44A1	NQO1	FOXP1	TIPARP	DNAH7	CDCA8	BAZ2B	KCNMB2-AS1	CCDC146	CASP4	PARP8	ENDOD1	PRKCA	C15orf48	GULP1	UTRN	ACSL1	DNAJB6	INPP4B	S100A6	CMSS1	SLC2A12	LRRC49	SMC4	S100A6	ARL13B	C15orf48	FDFT1	PTPRJ	SHROOM2	SKA3
FOXP1	AREG	IL33	TET3	UBN2	FGD4	NAAA	CCDC146	RUBCNL	NBEA	SMC4	RUBCNL	STXBP5	TET2	PRR11	FOXP1	HOXD10	DSN1	LGALS4	CCNL1	MXI1	SAC3D1	VEZF1	EFNB2	FXYD3	LGALS3	FAM126A	GPR173	KIF15	GULP1	KIAA1211	RHOU	SNHG8	FLNB	C15orf48	DIAPH3
RUBCNL	TNFSF13B	SORBS2	AC021504.1	MFSD14C	SLC22A3	MYL6B	SLC22A3	AREG	GNG4	NUSAP1	ATP9A	CASD1	ATXN1	UBN2	MSI2	MSX2	ZNF704	EPB41L2	IFRD2	PPP1R9A	LGALS4	TMEM59	CDKN2B	SNRPD1	ANXA3	LGALS1	TIMP2	AURKB	C15orf48	ZBTB10	CRYBG1	B3GNT2	AOAH	CPLANE1	NCAPG2
CBFA2T2	TET2	CHD6	ATP9A	CDH17	DIAPH2	NOP53	TMEM45B	BCAS4	SYT1	TPX2	PDE4D	AC005833.1	NEDD4L	SP4	BCL11B	TET2	EEFSEC	LGR5	HHLA2	ABAT	UNC13C	PRSS3	HHLA2	DYNLL1	FDFT1	C6orf222	SLC29A4	OIP5	SNRPG	FER1L6	DYNLL1	ING4	SEMA3C	KRT18	TK1
AREG	RIOK3	UTRN	ADD3	VMP1	ZBTB20	SNRPD1	ANXA2	NEDD4L	H2AFY2	KIF2C	ANXA2	KLHL32	CDHR2	STARD4	ARID1A	RASSF6	ANKRD36	TBC1D4	NUDT1	SORBS2	EIF4G1	ARID4B	KLF7	TUBA1C	WDR43	EHD4	TP53INP1	NCAPD2	LEF1	EYA2	G2E3	MVP	CALB1	SNORC	JMJD1C
NABP1	DDX60L	MGAT5	BCAS4	TAX1BP1	TMC4	CALR	AL445472.1	EPB41L2	MAN1A1	ECT2	SLC22A3	WIPI1	ZDHHC11B	MALAT1	NEBL	RAB30	CENPK	CMSS1	TM4SF1	CSRNP3	CEMIP	RRBP1	MYO7B	PSMB3	LGALS4	LRMDA	FAM227A	POC1A	GFPT1	CACNA2D2	AUTS2	KIF4A	LGALS4	B3GNT2	VRK1
TNRC6B	WSB1	KLHL24	VPS13A	LAMB3	PDE4D	TUBA1C	ATXN1	SLC2A1	KLHL32	TOP2A	TET2	PLCB4	FAM155A	PARPBP	AC105460.1	HBEGF	PRKDC	NSMCE4A	CD55	KRT18	SYTL2	FDFT1	DNAJB6	ZFP36L1	LEF1	TDP2	PDZRN3	CDCA8	DNAJB6	SYT17	PTMA	ERLEC1	LGR5	EBP	MND1
ATXN1	NR5A2	CEP126	ENDOD1	CALB1	ATXN1	ADRM1	TNRC6B	TUFT1	RAB30	AURKB	ZBTB20	GALNT8	SETDB2	UBXN7	TSEN2	LEPR	NSD2	LGALS3	LURAP1L	TDP2	STX19	GRB7	SRGAP1	PHGR1	PPARG	HGD	TET1	CDCA2	LURAP1L	SOS2	LDHA	FTH1	MAML2	PEPD	SMC4
AL445472.1	EREG	YPEL1	IFT57	DSC2	ADD3	ACTG1	MUC17	KRT20	CUEDC1	KIF18A	SRSF7	ARFGEF3	HOOK3	HIST1H2BJ	UBE2H	PDE4D	DIAPH3	CCNL1	RHOU	ATF3	EPSTI1	B3GNT2	SPAG9	SNHG8	CCNL1	KRT18	CASC15	KIF4A	ZBTB10	CRACR2A	SAT1	PTTG1	ARHGAP26	NXN	OIP5
TMEM45B	AL445472.1	ATP1B1	CCDC146	FGD4	SEMA6A	PABPC1	GCNT1	MAP1LC3B	RETREG1	NUF2	CCDC146	CBFA2T2	PPP1R3B	MSX2	APP	TBX3	SMC4	ARGLU1	EZH2	PEPD	LARGE2	RHOF	CD55	NOP53	SI	ZBTB10	CYFIP2	ANLN	MACC1	GFPT1	CCNL1	CEP55	VILL	S100A6	SMC1A
MAP1LC3B	SLC17A4	MAP4K4	NEK5	BCL2L1	VPS13A	TFF3	IMPA1	RHOBTB2	PDE9A	MKI67	WSB1	SYT1	PLA2R1	MFSD14C	KDM4B	IDH2	FANCI	ZBTB10	FDFT1	FHL2	TMC4	ERLEC1	LURAP1L	PHLDA2	PEPD	CPLANE1	UGT8	DEPDC1B	AGR2	SIDT1	ACTG1	CLK1	CD44	NAV2	CDC45
BAZ2B	PDP1	RUBCNL	FOXP1	SETX	NEDD4L	GRN	TET2	PLEKHA2	KCNMB2-AS1	CIT	TMEM45B	CADPS	NEDD9	CEP55	CALB1	NCOA1	LIG1	GFPT1	SYT17	B3GNT2	SAMD4A	CEMIP2	FDFT1	RABAC1	SLC7A7	GDPD5	MEGF9	NDC80	ASS1	PCLO	HSPA8	SQLE	EPB41L1	C6orf222	BRCA2
TNFSF13B	FBXO32	NBEA	ATE1	C6orf132	FOXP1	PSMB3	NABP1	SLC22A3	ETS1	KNL1	AL445472.1	MEGF9	RHOBTB3	CSRNP2	MET	TGFBI	NUP58	B3GNT2	GLIS3	NBEA	PUM3	SNHG8	ATP1B3	SNRPB	GLIS3	CRYBG1	NINL	KIF20B	PTBP3	PLCB4	BAZ1A	JUND	S100A6	ACACB	FARP1
MALAT1	BTNL3	ANO1	LIMCH1	SPAG9	ATE1	TMSB10	TUFT1	LAMC2	RNF130	CDCA2	IMPA1	PDE4D	MBNL2	ARHGAP5	LPP	CYP27A1	TK1	SAMD4A	PRKAA2	ANXA3	ACSS2	LDHA	MUC12	TMSB10	TDP2	HIST1H2AC	KLF12	CIT	CRYBG1	RAB32	LARGE2	MYLIP	DACH1	GFPT1	SYNE2
LGALS3	HOOK3	ZBTB20	RHPN2	GALNT7	EFNB2	H3F3B	PHIP	BAZ2B	GPR173	KIF23	THBS1	PTPRN2	DSP	CHD4	FNDC3B	SESN1	NUP107	IER3	SRGAP1	EPSTI1	HEPH	RNF43	ABCB1	JPT1	TIMP3	HSP90AA1	ST6GAL1	MKI67	NUDT1	SLC29A4	SAMD4A	UBXN7	RNF43	PHLDB2	BUB1B
EPC1	SFPQ	GSE1	SMCHD1	DNAJC3	LPP	ATP5MC1	LGALS3	CBFA2T2	RAP1GAP2	SLC3A2	EREG	PPP1R9A	CFAP44	CHORDC1	C6orf132	RBMS1	SKA2	MACC1	KLF7	FAM198B	CCNL1	CDH17	PERP	GRN	ASS1	STIP1	H2AFY2	INCENP	CEACAM1	PEPD	FAM155A	BMPR2	SNHG8	ITPR2	CIP2A
SQSTM1	ZDHHC11B	CADPS	PSMD1	STARD4	GPR160	JPT1	ZC3H6	ZDHHC17	PCCA	BUB1B	SEMA6A	PDE9A	LEPR	KIF4A	CDH17	LBH	CDC45	GAS6	ACHE	ACACB	BRWD1	BCL2L1	CCL20	HNRNPU	NUDT1	ESYT2	FYN	CENPF	S100A10	GALNT5	ACHE	NMU	C1orf21	LIG4	POLQ
SS18	RUVBL1	ITGB8	FGD4	RIOK3	CLHC1	SYK	DNAH7	IL33	F10	CKAP2	ZDHHC17	SIPA1L2	CNGA1	SETX	CDC42EP5	GABARAPL1	MELK	AC116345.1	NHS	PROS1	MXI1	AHNAK	GPSM2	TFF3	ACACB	STT3B	RNF130	NCAPG	FDFT1	PTPRN2	NCOA7	SLC25A25	CEMIP	BHLHE40	MIS18BP1
SETDB2	AC008467.1	DAPK2	RNF217	NBR1	RNF146	HOXD10	BAZ2B	TNFRSF21	FAM227A	PBK	EPB41L2	PRUNE2	SLC17A4	HIST1H2BD	RNF43	CDC42EP3	CTNNAL1	GULP1	HIF1A-AS2	CSTB	ARGLU1	ARID5B	LMO7	FXYD1	EPSTI1	RUNX1	PROC	SPC25	ANXA3	NCOA1	METRNL	HIST1H2BD	ATRX	RUNX1	LIG1
WSB1	AL356124.1	BCL9	FNDC3A	ZNF217	RABGAP1L	DYNLL1	PCCA	IMPA1	NINL	KIF18B	MACROD2	ANO1	BACH1	DDX5	FERMT1	AC003958.2	KIF15	MFSD14B	ATP1B3	MACC1	ISX	CCDC186	RASSF6	CENPW	ZBTB20	S100A6	LNX1	BUB1B	ZC3H12C	CAMK2D	MXI1	METRNL	GALNT5	AGO4	KIF11
IMPA1	CCNG2	SYT1	AC105460.1	OGA	MUC13	IHH	ANXA3	EPAS1	SUSD6	KIF11	MALAT1	QSOX1	ENC1	OGA	MISP	C6orf222	MCM8	PHLDA2	COTL1	LGALS4	DIAPH2	NFKBIZ	MUC13	NQO1	GFPT1	AKR1C3	TUBA1A	KNL1	ERLEC1	TOX	GPX2	CCNB2	KLC4	KRT23	LMNB1
IL33	ZBTB1	SLCO1A2	TMEM45B	NFYA	DNAH7	HSPE1	CBFA2T2	PDE4D	YPEL1	CDC25C	TNRC6B	TOX	LGALS3	PHIP	ADORA2B	AMACR	SLC3A2	FOXP2	TBC1D4	FOXP2	FAM222A	TLE4	CAMK2D	DNAJC4	COTL1	LINC01068	RFX6	PBK	TM4SF1	ATF3	GFPT1	CD46	CDA	NFKBIZ	POC1A
ANKRD12	PDZK1	HPCAL1	ANKRD12	AHNAK	WSB1	JUND	MACROD2	VPS13A	CYFIP2	NCAPD2	BCL9	XRCC5	UNC13C	ZNF92	FOXO3	C20orf96	BRCA2	LARGE2	ALYREF	GFPT1	SLC20A1	LAMB3	MXI1	MTMR11	STXBP6	EIF2S1	HIPK2	KPNA2	TNFRSF21	AGR3	ESYT2	POC1A	FAT1	SEMA3B	SKA2
FABP1	HIST1H4H	EPC1	N4BP2	GRB7	AL445472.1	FDPS	ACTL6A	LIMCH1	MEGF9	PRR11	BCAS4	FBXO32	CBFA2T2	MLXIPL	FGD4	ME3	SMC1A	ACACB	SEMA3B	FSD1L	ZMAT3	ING4	GK	NUDT15	B3GNT2	F13A1	SORBS1	SKA3	LGALS3	MAN1A1	RPL22L1	C1orf116	RAB40B	PLK2	KIF20B
GOLIM4	HPGD	ZNF254	PHIP	LNX1	SMAD3	TMEM106C	ADORA2B	SLCO1A2	PAX4	KIF15	S100A11	COL16A1	SLC6A6	PCF11	NEDD4L	KLHL24	TFDP1	CAMK2D	FAM114A1	S100A6	CMSS1	TSC22D2	PTBP3	PABPC1	LDLR	C15orf48	FARP1	ECT2	NFKBIZ	ANXA13	CA12	ZNF217	GSN	LDHA	ATAD2
SEMA6A	GABRA2	FOXP1	ROBO1	COG3	RUBCNL	HLA-DQB1	EREG	PELI2	PCLO	STAG1	MGAT5	FER1L6	EREG	ITGB6	KMT2C	BACH1	ITGB3BP	PLA2G10	GGH	DHRS3	SERTAD2	STXBP4	S100A10	LCN15	FHL2	OLFM2	DUSP4	CKAP2	EIF4G1	ATOH8	ITGB3BP	HOTAIRM1	DGKD	LRMDA	CBX5
PHF14	CHST11	SLC4A7	IL33	POU2F1	ATP2B1	POLD2	TSPAN3	SERPINE2	FSD1L	KIFC1	CBFA2T2	ZNF704	HNRNPDL	GNAI2	BAZ2B	PYCR1	CDK5RAP2	FOSL1	RBBP8	GDAP1	S100A6	ABCB1	GFPT1	SRSF2	TPM1	CFL2	UBALD2	TOP2A	HMGB3	KIDINS220	IFRD2	SPTAN1	GPX2	NMNAT3	CSE1L
VPS13A	NEDD4L	RAB30	ZBTB20	MET	ANXA2	CENPW	MLLT3	EREG	STXBP4	KIF20B	TSPAN8	GNG4	LMO7	HIST1H2AC	SLC22A23	H2AFZ	CEP295	FSD1L	DNAJB6	ITGA9	TBC1D4	SPTBN1	TRPM6	DEK	FCGRT	MXI1	CADPS	CKAP5	PAM	DOCK4	GULP1	STX19	ACSS1	MDH1	CDC25C
ZC3H6	ATP9A	KIDINS220	PNPLA2	CCDC186	BAZ2B	CYP39A1	RPS6KA6	ANXA2	PHF21A	KIF14	PCCA	SLC22A23	IMPA1	IP6K2	MAML2	SFPQ	SPC25	FDFT1	C1orf116	L3MBTL3	ABAT	LNX1	MYO1D	HLA-DQB1	MEF2D	MXD1	ANXA13	KIF2C	KRT18	ZC2HC1A	LGALS4	NFIL3	ZNRF3	RHOBTB3	TFDP1
ATP9A	ENDOD1	PTTG1IP	SLC3A1	BMPR2	NFE2L3	COL17A1	ATP9A	AC004918.1	TSC22D1	ZNF704	MAP1LC3B	HERPUD1	NEAT1	GPCPD1	SH3PXD2A	GAL3ST1	TYMS	SLC7A7	ASS1	TOX3	BAZ1A	FLNB	SERPINB5	VAT1	S100A11	GNG4	TOX	DIAPH3	GGH	FAM126A	SAC3D1	TMEM59	PDCD4	TET1	CIT
EREG	EHF	AL445472.1	TET2	TSPAN12	MYO7B	ITGA6	SFPQ	TGFBI	MATN2	BUB1	ZC3H6	NCOA1	LINC01006	ASPM	NOTCH1	ATP5MC1	TACC3	PTBP3	RASSF6	SLC7A8	POLD3	ITGA1	AKAP7	HOXD10	FOXP2	GPRC5A	KIAA0355	CEP55	ARGLU1	GNG4	TINAG	CUEDC1	PEPD	RPL22L1	KIF15
SRSF7	SLC22A3	SLCO3A1	CASD1	TGFBR2	BPTF	DEK	PSIP1	MLLT3	UNC13A	DLGAP5	LINC02588	CREB3L2	ENDOD1	FGD4	SLC44A1	MLLT3	NCAPG	GPRC5A	S100A6	ST6GAL1	STRN3	UBXN7	ACSL1	CDKN3	GAS6	PCLO	HEPACAM2	KIF14	SLC7A1	TOX3	SNORC	DLL4	MSI2	TNFRSF19	ECT2
EHF	H2AFZ	FAM171A1	ABHD12	RNF43	SETX	SLC39A5	TSPAN8	MYH9	GPCPD1	AURKA	DMTF1	CHD7	PCF11	RABGAP1L	ANXA4	RUVBL1	KNL1	ESYT2	NSMCE4A	SLCO5A1	FAM214A	NBR1	SLC22A3	IL32	SLC2A1	KRT20	PDE9A	ARHGAP11A	ZBTB20	ULK1	ANXA1	PARPBP	KRT18	CDKN2B	GUSB
RHPN2	PDE4D	ATP9A	ANTXR2	TMEM59	TPMT	SKIL	SEMA6A	ENDOD1	FYN	NSD2	TMEM106B	SESN1	EEF2K	OTUD7B	AKAP13	BCAS4	VRK1	PUM3	PLA2G16	PCLO	LGR5	C6orf132	COBL	LDHA	NSMCE4A	ILF2	SLCO5A1	SKA2	EFNB2	ANO1	GAS6	OIP5	SRGAP1	COTL1	NCAPG
MLLT3	RIMS2	SIPA1L2	DIAPH2	HIST1H4H	TNRC6C	WIPI1	BCL9	FOXP1	INSR	DEPDC1B	H2AFZ	YPEL1	ADIRF	SNHG18	ATRX	SS18	EMP2	RPL22L1	CMSS1	PRSS22	PEPD	FTH1	TBC1D4	TROAP	NHS	CYC1	NCOA1	NUF2	CAMK2D	SMPD3	COCH	CEP70	C6orf132	CSGALNACT1	BUB1
AL513318.2	TJP1	CYFIP2	PTTG1IP	ZKSCAN1	DENND4C	HNRNPU	SS18	FHL2	PPP1R14C	NDC80	RPS6KA6	PLPP1	SLCO2B1	ENAH	LINC02086	DOCK4	ANLN	SRSF7	UTP20	TPM1	NEBL	COG3	INSIG1	S100A2	ATP2B1	HOTAIRM1	CHORDC1	CCNF	MYO1D	HEPACAM2	CMSS1	ZMAT3	ME1	FXYD3	KIF23
ATP1B1	IMPA1	MAP1LC3B	SLC4A7	FBXL20	PTTG1IP	PTMA	INSIG1	SSBP3	MGAT4A	INCENP	FBXO32	MBNL2	SRP54	CENPE	BCL2L1	LRRCC1	BRIP1	ABAT	GPX2	SLC7A7	CA12	MVP	ADGRG7	FDPS	FOSL1	HSPH1	ZBTB10	HJURP	LGALS4	PLXDC2	EPB41L2	MSH6	FSD1L	F13A1	CTNNAL1
MACROD2	KCNH8	SLCO5A1	AC004918.1	HIST1H2BC	CCDC146	DSG2	GPR160	MACROD2	DOCK4	CENPE	CEP126	HDAC5	AL356124.1	POU2F1	MLLT3	CPLANE1	CKS2	EDN1	CPLANE1	ARL4A	RNF43	MSH6	ZBTB20	CALR	ABAT	GULP1	LSM3	CENPE	ATP2B1	AGR2	FSD1L	PMFBP1	CAPN5	GPR161	KNL1
FERMT1	ANXA2	MSI2	CSRNP3	KLF5	HIF1A-AS2	SNRPB	SSBP3	LINC02086	PRUNE2	FAM83D	IL33	LINC01006	H2AFZ	RDX	ROCK2	QSER1	BUB1B	LINC01473	RAP1GAP2	KLF7	PGM2L1	STX19	ME1	SYK	DNAJB6	MACC1	CRYBG1	CD46	PUM3	UTRN	C1orf116	HIST1H2AC	NBR1	FDFT1	NCAPD2
