HT29_EV_0	HT29_EV_1	HT29_EV_10	HT29_EV_11	HT29_EV_12	HT29_EV_13	HT29_EV_14	HT29_EV_15	HT29_EV_16	HT29_EV_17	HT29_EV_2	HT29_EV_3	HT29_EV_4	HT29_EV_5	HT29_EV_6	HT29_EV_7	HT29_EV_8	HT29_EV_9	HT29_LSD1_KD_0	HT29_LSD1_KD_1	HT29_LSD1_KD_10	HT29_LSD1_KD_11	HT29_LSD1_KD_12	HT29_LSD1_KD_13	HT29_LSD1_KD_14	HT29_LSD1_KD_15	HT29_LSD1_KD_16	HT29_LSD1_KD_17	HT29_LSD1_KD_2	HT29_LSD1_KD_3	HT29_LSD1_KD_4	HT29_LSD1_KD_5	HT29_LSD1_KD_6	HT29_LSD1_KD_7	HT29_LSD1_KD_8	HT29_LSD1_KD_9
EZR	EIF1	MID1	PLCB4	ARID4B	TOP1	KRT20	TRIB3	EIF1	DNAH7	KPNA2	FNDC3A	SSBP3	PELI1	CEP70	KRT20	B2M	EZH2	TM4SF1	DDX10	FIRRE	DACH1	BMPR2	SLC7A11	SAT1	PRSS3	ITGAV	MYO1B	NDC80	MALAT1	GPR173	KLK10	KIF4A	IFI44L	HIST1H2AC	FANCI
KRT20	GSN	RALGAPA2	MTSS1	HOXA11-AS	ANKRD12	BPTF	ANXA2	GSN	RGS7	BUB1B	CDKN2B	KLK12	TSC22D1	ZMYM1	BPTF	PDK4	FANCI	DDX10	KLK10	KIAA1211	SOX6	DDX58	IBTK	KLK10	CMSS1	LAMC2	TXNIP	NUF2	HDAC9	NREP	TM4SF1	CEP70	ZBTB20	KLK10	MYBL2
PELI1	PLAUR	FHL2	SORBS2	CD46	FTH1	EIF1	SDCBP	HDAC9	KCNH8	NUSAP1	TOP1	TNFRSF11B	KLF5	PARPBP	PER2	STAT2	E2F7	ZBTB20	NCL	DDX10	ATP11C	CREB3L1	ANKRD29	ANXA13	GMDS	DLGAP1-AS2	TEX9	ANLN	VMP1	PDZRN3	HIST1H2AC	CEP55	ROR1	HIST1H2BC	ATAD2
FOSL1	KIF22	AC104574.2	SCN9A	ACTB	GRB10	FDPS	MRPS6	SPTBN1	CSRNP3	KIF20B	MALAT1	AC018618.1	RHOU	LINC01572	ALDH1A1	TSPAN1	SKA3	TM4SF4	GALNT5	ZBTB20	FIRRE	AHNAK	FAM102A	CFTR	MSN	ANXA1	TOX	KNL1	TAF15	LINC00261	SEMA3A	CIT	FRAS1	TUBA1A	NCAPG2
RHOU	FBXO32	LINC01006	TOX3	RHOF	RASSF6	SELENOW	ANXA5	ANO3	DNAH5	NDC80	RASSF6	SH3PXD2A	DNMT3A	ARID4B	SLC16A4	MX1	NCAPG2	PLA2R1	FAT1	SLC38A11	SPATA17	SLFN5	ANXA13	NEB	SKAP1	LIPH	SLC16A7	CNTRL	CD55	JAKMIP2	MUC16	KIF14	CYP39A1	TRIM22	DIAPH3
TIPARP	DDX39A	SLCO5A1	KCNH8	FAM210A	MGAT5	SSR4	TOP1	PLA2G4C	ATP8A1	ECT2	COL16A1	KDM7A	UFM1	IFT122	S100P	OASL	ITGB3BP	NEB	LINC00685	LINC01006	DAB2	HSD17B2	NFKBIA	STAT1	TTC3	HDAC9	GPR173	KIF23	CXCL8	ASPH	BACH1	BUB1	SLFN5	SYNE2	TUBA1B
ODC1	SIRT2	MAML3	COBL	AC103702.2	ANXA5	EEF1A2	FAM210A	ASNS	IRAK1BP1	KIF4A	GPCPD1	MID1	PTPN13	HSP90B1	MUC13	RPS6KA2	BRCA2	SLC38A11	SAT1	ATP1B1	FMNL2	MET	MVD	ARSE	EPS8	SH3KBP1	NAV1	BUB1B	HKDC1	AC104574.2	MBNL2	KNSTRN	SEMA3C	ACOXL	RRM1
SLC2A1	ITPKC	LAMB1	FNDC3A	SLBP	TMEM41B	GOT1	SULT2B1	B2M	ZNF618	GOT1	TAF15	LINC00261	WWOX	KIF4A	KRT18	BATF2	FHL2	LMAN1	TSHZ2	ARHGAP24	PLCB4	OAS3	PYGB	KRT8	CDA	MAP1LC3B	LINC00261	KIF4A	MYOF	SHANK2	ROR1	LINC01572	SLC38A11	PARP14	LIG1
ITPKC	CYP3A5	SLC4A7	GRB10	ARID4A	KLF5	AFF4	GOT1	AC008736.1	SORBS2	KIF18A	ADAM17	KCNH8	IGFL2-AS1	TUT4	PELI1	AC008736.1	MYBL2	LINC00685	IFRD1	IL4R	DNAH5	MLXIP	TMPRSS4	TAF15	RELB	TFPI	ROBO2	AURKB	CDKN2A	LINC01006	HIST1H2BC	GPSM2	SYNE2	ABCA1	MELK
MAML3	SSR4	MAGI1	PARD3B	FOXO3	BHLHE41	CTTNBP2NL	ARF4	ZFAND2A	TTLL7	EZH2	KLF5	DACH1	TIPARP	CD46	CHD2	EMP1	DSCC1	SLC29A4	MYOF	GMDS	CREB5	HOXB-AS3	NFKBIZ	DDX10	SH3KBP1	MXD1	CACNA2D2	TPX2	NFKBIA	NTN4	ACOXL	DDX10	CFTR	BACH1	CDC45
