0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
MTUS1	STK17A	ARHGEF40	IQGAP3	IQGAP3	MYH14	NFKBIZ	ABLIM1	ARHGDIA	PDZRN3	PLXDC2	FANCI	IQGAP3	ETHE1	ABCC3	IDH2	MALAT1	RASSF6
FLNB	SCIN	SLC12A2	ECT2	GDF15	MTUS1	SPPL2A	MTMR11	RNF43	PLEKHB1	KCNMA1	ATAD2	MAOA	RPS2	CD24	LGALS4	RPS2	PLEKHB1
TJP3	CYP3A5	NFKBIZ	CDCA8	ECT2	CA2	IDH2	GCNT3	CES2	GPRC5A	CLIC4	GDF15	QSOX1	GDF15	ARHGDIA	ARHGEF40	SDCBP	MS4A8
ARHGDIA	SLC17A4	CES2	CHP1	WFDC2	PDLIM5	SULT1B1	ABCC3	ABCC3	ZNRF3	CRACR2A	ABCC3	GALNT3	RNF43	CDH17	C10orf99	TLE4	CADPS
SYNPO	AREG	EPHB2	FANCI	CDCA8	TLE4	IQGAP2	ARHGDIA	NUCKS1	CA8	LINC00261	TMPO	PHLDA2	VSNL1	CA2	RNF43	DST	FOXO3
LINC02086	PLAC8	CDK6	TMPO	MYH14	ARHGEF40	ABCC3	HMGCS2	NFKBIZ	EPHB2	PTPRN2	LBR	C10orf99	CDK6	MTUS1	SLC12A2	SPINK1	FDPS
SLC26A3	LIPH	MT1H	GDF15	TMPO	EPHB2	PLS1	MTUS1	MAOA	EDN1	STK10	CLSPN	ARHGDIA	C1orf21	TMPRSS2	MAOA	LMO7	HGD
ACVRL1	CPEB4	MTUS1	CIT	NAT1	ABCC3	NEURL1	TSPAN8	GOLM1	DACH1	FAM107B	ECT2	RNF43	IDH2	FAM114A1	TMEM45B	THBS1	NEURL1
SLC4A4	PRSS3	NEURL1	ATAD2	ETHE1	FLNB	MTUS1	CYP3A5	SLC4A4	MYH14	TOX	TPRKB	CDCA8	NFKBIZ	NFKBIZ	SEMA5A	CA1	GSDMB
VSIG2	GSDMB	LINC02086	CD44	ACSS2	TFF3	TMPRSS2	IMPA1	LGALS2	OSBPL8	EIF2AK3	CIT	TSPAN1	SLC12A2	RASSF6	TSPAN1	ZFP36L1	PRUNE2
MTMR11	MALT1	CD44	WFDC2	IL1R2	GPT	CES2	IL18	QSOX1	SMC2	ST6GALNAC1	GPT	TSPAN8	CDK18	TSPAN1	NEO1	GPRC5A	TSPAN5
ATP8A1	CA1	ZNRF3	VSNL1	HPCAL1	CYP3A5	LGALS4	SYNPO	CA2	VSNL1	ATF3	CDH17	TPRKB	FBLIM1	FLNB	MGST3	ASS1	PDZRN3
ABCC3	EREG	ABCC3	TPRKB	FDPS	ARHGDIA	SLC4A4	MYO7B	VSNL1	PHLDA2	MYRIP	CES2	GDF15	PLEKHB1	TSPAN8	LINC02086	MYH14	ITPR2
TCF7L2	ABLIM1	IDH2	MYH14	GPRC5A	TICAM1	NAT1	SLC26A3	MTUS1	MGAT5	B2M	CDCA8	CES2	CRYL1	ABLIM1	MTUS1	SPINK5	AC024610.2
PLS1	TICAM1	CA2	MLPH	QSOX1	CDH17	CRYL1	GNA11	EPHB2	CADPS	GALNT8	SEMA5A	ECT2	ZNRF3	LCN2	VSNL1	RASEF	MGAT5
MYO7B	GK	MAOA	ZNRF3	KLK1	THBS1	CA2	SH3KBP1	CDK18	PKIB	FOXO3	ARHGEF40	ABCC3	PDZRN3	CA1	GOLM1	CST3	A1CF
GCNT3	NEDD4L	NEO1	DMBT1	ARHGDIA	MALAT1	SLC12A2	TCF7L2	NAT1	SMIM14	DACH1	ADH1C	EPHB2	FTH1	NEURL1	CRYL1	LAMA3	CCDC107
SEMA5A	TIPARP	LGR5	NOTCH2	CD44	EMP1	FLNB	CDH17	MALT1	FABP1	BCKDHB	ZNRF3	NAT1	GOLM1	HMGCS2	MT1H	TFF3	KRT20
IQGAP2	FAM13A	CDH17	FTH1	MGLL	MYO7B	SEMA5A	AREG	GDF15	HPCAL1	SLC12A8	PAPSS2	ANXA4	MAOA	KRT20	FBLIM1	RPS6	ABHD2
CEACAM7	LINC02568	RNF43	LBR	ANXA4	NEURL1	SYNPO	NAT1	LGALS4	FDPS	MBOAT2	CD44	MALT1	CCDC107	PLS1	SPPL2A	NAAA	EPHB2
SLC46A3	MTMR11	SULT1B1	CLSPN	SI	PLSCR4	GNPTAB	TICAM1	CDH17	LGALS2	RPS6	EPHB2	MTUS1	CES2	ADCY5	FTH1	GMNN	MAOA
CD24	HEPH	PLS1	HEATR5A	C10orf99	NBPF14	CDH17	TMPRSS2	ETHE1	MT1H	CBFA2T2	NFKBIZ	MYH14	NUCKS1	TICAM1	SULT1B1	CYP3A5	TOX
TMPRSS2	CEACAM1	GOLM1	AXDND1	TSPAN1	HMGCS2	CDKN2B	GMNN	FLNB	LBR	MT1F	IDH2	GOLM1	AXDND1	B3GALT5	ACSS2	MT1F	ANXA13
