0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
ZBTB20	IFRD1	KPNA2	LGALS3	SIDT1	UNC13C	CEP70	ARHGAP26	RASSF6	SYNE2	UTRN	SLC22A3	HIST1H2AC	INSIG1	NQO1	ZBTB20	LGALS3	CASC15
LGALS3	ATXN1	ANLN	EPB41L2	NTN4	MALRD1	PRR11	CDK6	ATXN1	NCAPG2	BCAS3	ADD3	BCL2L1	MPP7	TUBA1C	ANXA3	EPB41L2	FSD1L
S100A10	FABP1	BIRC5	FABP1	GPR173	FAM155A	CASP4	CD44	NHS	MYBL2	MCF2L	PSMD1	FAM117B	ADD3	MYL6B	LGALS3	PMEPA1	RIMBP2
SQSTM1	PDZK1	KIF4A	ANXA2	OTUD7A	PPP1R3B	CEP55	PTPRD	TESC	RRM1	GSE1	GALNT1	ELF1	GPR160	GRN	RUBCNL	SLC2A1	KIAA1211
PTBP3	NR5A2	SMC4	ZBTB20	PLCB1	RHOBTB3	HIST1H2AC	TSEN2	HOXD10	TP73	YPEL1	KLF7	SPAG9	TMEM45B	TFF3	ANXA2	LAMA3	PPM1L
SLC22A3	SLC17A4	CDCA8	PAG1	FGFR2	TNFSF13B	PARPBP	CDC42EP5	C6orf222	CENPK	CHD6	BIN1	DSC2	ATP2B1	CALR	GPR160	STT3B	KCNH6
FABP1	BTNL3	TPX2	ATXN1	RGS6	LMO7	LUC7L3	CALB1	HMOX1	PRKDC	L3MBTL3	EIF4G1	C6orf132	EFNB2	CENPW	STXBP6	PLEKHA2	DNAH7
RUBCNL	AC008467.1	NUSAP1	BDH1	PPP1R9A	SLC20A1	KIF4A	RNF43	HBEGF	DIAPH3	OLFM2	SYBU	CALB1	MUC13	SYK	GCNT1	KDM1A	GNG4
ATP1B1	TM4SF1	KIF23	EIF4G1	KCNMB2-AS1	STX3	BUB1	MSI2	PRSS23	SMC4	EPB41L2	ERGIC1	COG3	TPMT	HOXD10	MACC1	TIPARP	SRRM3
TSPAN8	SLC11A2	KIF2C	TSPAN8	MYRIP	STRN3	ASPM	C6orf132	RBMS1	FANCI	ITGB8	TRPM6	ACSL5	ZBTB20	DEK	EPS8	KRT20	NBEA
GOLIM4	DPYSL2	AURKB	THBS1	AC005833.1	PLA2R1	TOP1	BCL2L1	AC003958.2	DSN1	MGAT5	NEK5	OGA	SLC20A1	FDPS	ZC3H6	FHL2	CUEDC1
BRCA1	HPGD	KIF11	MACC1	KLHL32	GPRC5A	CDCA7	FAT1	LBH	MELK	ATP1B1	BDH1	RNF43	HIF1A-AS2	SLC39A5	SYBU	SMC5	RIMKLA
ANXA3	CCNG2	CDC25C	GPR160	GALNT8	LGALS3	CENPE	ARHGAP32	GABARAPL1	CDC45	TP53BP1	LIMCH1	CIR1	SLC44A1	SRSF2	SLC22A3	GULP1	PTPRN2
MUC13	GABRA2	MKI67	STK38L	PLCB4	NUBPL	AL136418.1	CEMIP	TNFRSF11B	TK1	IL33	ANXA4	GALNT7	SEMA6A	SNRPB	TSPAN8	KLF7	RETREG1
ZC3H6	LINC02023	ECT2	IARS	CLIC4	G2E3	CENPF	UBE2H	DOCK4	ZNF704	NBEA	SLC3A1	POU2F1	ATP9A	POLD2	ACTL6A	PREP	RAB3C
ZBTB10	RIOK3	BUB1	SEMA6A	STXBP5	NEDD9	PTTG1	ACSL5	LEF1	SKA2	MAP4K4	SLC4A7	TGFBR2	MUC12	COL17A1	NEO1	EPAS1	LINC00907
SLC3A1	TNFSF13B	CDCA2	EREG	PTPRN2	SRP54	MYLIP	MAML2	EDAR	LIG1	PPP1R9A	AKR1C2	MET	INPP4B	MTMR11	EDN1	SERPINE2	MAN1A1
SLC20A1	HIF1A-AS2	PBK	STT3B	ARFGEF3	SLC17A4	SLC3A2	INPP4B	STX3	BRCA2	CBFA2T2	SMCHD1	PDK1	SLC22A3	TROAP	RSRC1	CEACAM1	H2AFY2
NCL	EREG	NUF2	RUBCNL	WIPI1	CFL2	DGKE	AOAH	TNFRSF19	KIF15	FHL2	RSRC1	FKBP14	SMC5	MCM7	GULP1	MACC1	RNF130
EPB41L2	HHLA2	KIF18A	COTL1	FSD1L	PADI2	BIRC5	ANXA4	CDC42EP3	NSD2	ZBTB10	ADAMTS6	RIOK3	GPSM2	LCN15	TNRC6B	COTL1	PLCL2
ATAD5	P3H2	CIT	XPOT	CASD1	EPB41L1	RDX	ROCK2	RAB30	NUP107	AC116345.1	CERK	MCM3	TMCC3	ITGA6	EIF4G1	PPP1R3B	OTUD7A
EHF	HOOK3	TOP2A	KDM1A	MEGF9	CYB5B	ZNF92	PRSS3	ABCG1	MCM8	KLHL24	BRIX1	EPAS1	ANXA2	SKIL	INSIG1	ATP9A	RAP1GAP2
KDM1A	PADI2	KIF15	BRCA1	QSOX1	S100A10	OGA	PIP5K1B	TNFSF13B	SMC1A	FSD1L	ZBTB20	SMIM31	CEMIP	TMPO	ATAD5	PELI2	ETS1
ACTL6A	THRB	BUB1B	ATP2B1	CADPS	HOOK3	DLGAP5	MET	NCOA1	STRIP2	ZBTB20	TOX3	TOP1	MYO1D	FLNA	DNAH7	PTBP3	KCNMB2-AS1
CYB5B	C3orf52	KIF20B	S100A10	FER1L6	MEP1A	CCT3	DACH1	RHOBTB1	CTNNAL1	DAPK2	TBC1D4	DNAJC3	NDRG1	SLC25A19	PHF20L1	LAMC2	ZNF273
GUCY2C	XBP1	KNL1	KRT20	TOX	AUTS2	MARCH5	OAF	ABTB2	VRK1	XRCC5	ATP9A	ARID5B	PAG1	S100A2	ZBTB10	BCAS4	FAM227A
ANXA2	RASSF6	NCAPD2	SLC22A3	ANO1	ETS2	ARRDC3	GSN	PCOLCE2	NUP58	SLC4A7	GUCY2C	PDCD4	PGBD5	HSPH1	EREG	ANXA3	RAB30
TBC1D4	RHOBTB3	CKAP2	GULP1	DTNB	CNGA1	HMMR	ADORA2B	NME7	NCAPG	CYFIP2	ATP2B1	KLF5	SORBS1	TRIM31	CLTB	RUBCNL	GRIK2
PIK3R1	EZH2	PRR11	LRMDA	XRCC5	SLC6A6	F3	FERMT1	GRM8	SPC25	SLCO5A1	NFIB	SCRN1	HMGCS1	PRAP1	TMEM45B	SLC20A1	STARD9
STXBP6	EMP1	KIFC1	ATP9A	PDE9A	SLCO2B1	CIT	CHRM3	RDX	TFDP1	BAZ2B	SOCS7	SEC61A1	DNAH7	WIPI1	PREP	CERK	PLCG2
BAZ1A	RMI2	KIF18B	OSBPL8	PLA2G10	EEF2K	SLBP	ATP11A	PRSS22	TACC3	CUEDC1	BCAS4	PKDCC	P3H2	SNX6	CBX1	NHS	KAT2B
PSMD1	LTBP1	STAG1	ZC3H6	PRUNE2	MBNL2	RHOQ	GALNT5	PDZK1	CCDC18	ANO1	FAM111B	ZSWIM6	EIF4G1	GPX8	BRCA1	PRAG1	AC097468.1
TNRC6B	FAM155A	DEPDC1B	EPAS1	DAPK1	ARHGAP29	FAM117B	TJP3	IQSEC1	LMNB1	ITGA9	DHRS3	YPEL2	ALDH18A1	FXYD1	NCL	ATP2B1	GPR173
WDR43	NCL	NDC80	MGAT5	RSRC1	ANXA1	MSMO1	MISP	SMOC2	SKA3	ELOVL7	ANTXR2	SERINC1	FABP1	HNRNPD	COTL1	FAM155A	PDE9A
CCDC175	FSIP2	OIP5	ATP1B1	CBFA2T2	NEAT1	KIF14	PLCE1	ARHGAP29	TYMS	RGS6	SLCO2B1	TNFRSF11A	TSEN2	ESCO2	MFSD14B	ANXA2	JAKMIP2
ALDH18A1	EDAR	CCDC18	STXBP6	CAMK2D	ARHGAP18	PRSS3	CAMK2D	ADGRG7	BRIP1	HMGCS2	STK38L	CASP4	PFKFB4	KLF5	EZH2	LIMCH1	NFASC
SLC12A2	PDP1	HJURP	AC008467.1	KCNMB4	PDZK1	ARHGAP5	NRN1	ANXA1	CEP295	SQSTM1	GULP1	PRSS3	PRSS3	RND3	FAM214A	TM4SF1	PLCB1
ATP2B1	STX19	KIF14	USP14	ANXA13	RGS6	DEPDC1B	SLC2A1	NBEA	CSE1L	LGALS3	EPS8	SMURF2	NFE2L3	UQCC2	FABP1	CLTB	KLHL32
SEMA6A	CRYBG2	INCENP	ANXA3	GNG4	MACF1	MCM4	MYOF	AMOT	PBK	ST6GAL1	EZH2	ZNF92	HNF1B	CCT3	NUDT4	ROCK2	NINL
MFSD14B	SLC20A1	NCAPG	GOLIM4	COPG1	SLC1A1	NFKBIA	PLCB4	SLC5A12	FANCD2	CASD1	MCM6	LUC7L3	TRPM6	PCOLCE2	MUC13	GALNT1	F10
PNO1	TRPM6	AURKA	ESYT2	ISX	CCDC175	HMGN2	CERS6	PLEKHB1	KNL1	COTL1	MGAT5	RHOQ	CEMIP2	FUT11	GARS	EREG	PCLO
