0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
LGALS3	CPEB4	TPX2	EPB41L2	PPP1R9A	NFAT5	PRR11	ARHGAP26	PRSS23	CENPK	UTRN	LDLRAD3	ARID4B	HMGCS1	ITGB4	ZBTB20	LRMDA	RIMBP2
ZBTB20	HIF1A-AS2	KIF23	ZBTB20	OLFM2	RHOBTB3	MALAT1	BCL2L1	ITPR2	PRKDC	OLFM2	MYO7B	HIST1H2AC	SLC22A3	PTMA	PPARG	C6orf222	KIAA1211
EPB41L2	HHLA2	KIF11	TBC1D4	SIDT1	PLA2R1	LDHA	MSI2	C6orf222	EXO1	NBEA	DIAPH2	RRBP1	EFNB2	TUBA1C	TBC1D4	SLC2A12	LRRC49
SQSTM1	NR5A2	CDC25C	LEF1	KIAA1211	ANXA1	CENPA	MAML2	NXN	MELK	MCF2L	EIF4G1	LRRC59	KIF16B	SNRPD1	LGALS3	LGALS1	EPHA4
PIK3R1	PTPRR	SMC4	MYO1D	KIDINS220	KIFC3	KIF4A	FLNB	LRMDA	NCAPG2	CHD6	FGGY	PRSS3	ZBTB20	ARHGDIA	EPB41L2	ACHE	RETREG1
TBC1D4	ATF3	AURKB	S100A10	FER1L6	FAM155A	LRRC59	GSN	F13A1	DIAPH3	PPP1R9A	SYTL2	VEZF1	SPAG9	FXYD3	ANXA3	PGBD1	HEPACAM2
PTBP3	TM4SF1	KIF15	EFNB2	PLCB4	BAZ1A	DNAJB6	AOAH	GABRA2	FANCI	AC116345.1	PRUNE2	RNF43	MYH14	HSPA9	LEF1	EHD4	TP53INP1
GOLIM4	USP53	KIF4A	PTBP3	TOX	COCH	KMT5A	DACH1	GABARAPL1	TK1	SORBS2	CEMIP	KDM5B	MBNL2	TFF3	WDR43	LURAP1L	GPR173
DIAPH2	EZH2	BUB1	FAM13A	ANO1	NEAT1	UBXN7	ATP8A1	PHLDB2	SKA3	SLCO5A1	SLCO2B1	ZSWIM6	MYO1D	SNRPB	ANXA2	GNG4	FYN
S100A10	ANXA2	ANLN	SLC7A1	NCOA1	LGALS3	CEP70	JUP	KRT23	SYNE2	ZBTB10	ACSS2	C6orf132	INPP4B	CENPW	CLTB	NAV2	PDZRN3
ATAD5	INSIG1	CIT	KRT20	ULK1	TIPARP	CEP55	RNF43	RUNX1	SMC4	FHL2	FAM214A	BCL2L1	MYO7B	FDPS	EHF	F13A1	H2AFY2
BRCA1	RAP1GAP2	CDCA8	LGALS3	RAB30	G2E3	NDE1	ZNF827	LBH	MND1	ABAT	POLD3	POU2F1	MUC12	FXYD1	C1GALT1	KRT20	MEGF9
PLA2G10	MARCH3	CDCA2	LAMC2	CRACR2A	HEATR5A	PTTG1	C6orf132	TGFBR3	CDC45	MAP2K6	RNF43	ERBIN	DIAPH2	DEK	FHL2	CREB5	CADPS
