0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
KRT20	B2M	TSPAN1	BUB1B	KIF4A	CDKN2B	ACOXL	GRB10	FRAS1	MID1	NECTIN1	FANCI	CD46	PLCB4	KRT20	ANXA2	ANO3	KLHL32
CD55	NLRC5	PERP	CEP192	CEP70	RASSF6	WWOX	RASSF6	ALDH1A1	SLCO5A1	AC018618.1	SKA3	FAT1	FIRRE	CFTR	SULT2B1	IL32	DNAH7
ST3GAL1	PKM	SLC7A1	NDC80	PARPBP	ADAM17	CD44	TRIM25	F5	LINC01006	ASPH	ITGB3BP	DHCR24	FOXP1	VCP	TRIB3	B2M	RGS7
SLC2A1	MX1	FA2H	KIF20B	ODF2	UACA	DNMT3A	UACA	GPX2	SLC6A16	GMDS	CEP295	CXXC5	SORBS2	SERPINB1	PRSS3	PLA2G4C	KCNH8
HEPH	PDK4	MUC13	ECT2	MYEF2	COL16A1	ABCC4	MGAT5	KRT20	TEX9	KLK12	NCAPG2	ADAR	SDCCAG8	EEF1A2	EPS8	EIF1	ARL13B
TM4SF4	TMEM140	GPX2	NUSAP1	CEP55	SLC7A11	RHOU	HECTD1	SEMA3C	ADAM22	STIM2	DIAPH3	ONECUT2	KCNH8	HSPA9	CAST	SPTBN1	LINC02197
AREG	TSPAN1	PLXDC2	CEP295	IMMP1L	PTGR1	PTPN13	FTH1	HNF4A	FAM227A	KCNH8	DSCC1	IRS1	LINC01184	CFH	ANXA5	COL17A1	CSRNP3
GPRC5A	STAT2	ETS2	KIF4A	CIT	MGAT5	FRY	ABHD2	S100P	MAML3	SH3PXD2A	WDR62	ZKSCAN1	SCN9A	PDIA3	SDCBP2	PPL	SETBP1
RHOU	OASL	CCDC34	KPNA2	MZT1	SEC61A1	ROR1	TMEM41B	CD55	CHD6	MCTP2	LMNB1	TMEM106C	SOX6	FDPS	MRPS6	GSN	IRAK1BP1
PREP	MAST4	ADAMTS6	SKA2	BUB1B	ITGA3	KCNC3	NDRG1	FRY	RALGAPA2	DACH1	E2F7	APLP2	MTSS1	GFPT1	NDRG1	TM4SF4	ATP8A1
