0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
TM4SF4	GSN	NDC80	MALAT1	GPR173	UST	KIF4A	PTPRK	HIST1H2AC	FANCI	FIRRE	DACH1	DDX58	SLC7A11	ANXA4	ANXA2	TNIP1	MYO1B
ODC1	CYP3A5	KIF23	HKDC1	PDZRN3	MBNL2	CEP70	ANXA4	PARP14	MYBL2	KIAA1211	PPARGC1A	BMPR2	IBTK	FDPS	CMSS1	ANXA1	TOX
ZBTB20	SLC7A11	NUF2	HDAC9	NREP	MUC16	CEP55	IFI44L	ABCA1	ATAD2	PDZRN3	ATP11C	FBXO32	CYP3A5	NASP	PRSS3	LAMC2	KDM7A
S100A10	ATF3	ANLN	CD55	LINC00261	KLK10	CIT	ALDH1A1	TRIM22	NCAPG2	ATP1B1	SOX6	CREB3L1	CD55	CFTR	MSN	LCN2	LINC00261
TSPAN1	EIF1	BUB1B	CDKN2A	KDM7A	RGCC	KIF14	FRAS1	ACOXL	DIAPH3	AC091563.1	SPATA17	UBN2	FAM102A	B2M	TRIB3	DLGAP1-AS2	TXNIP
PLA2R1	FAT1	KNL1	UFM1	JAKMIP2	ACOXL	BUB1	MSI2	TMBIM1	RRM1	NREP	ZNF141	OAS3	ANKRD29	PERP	CDA	HDAC9	SLC16A7
KRT19	CDKN2A	TPX2	HSPH1	SHANK2	BACH1	KNSTRN	ZBTB20	BACH1	LIG1	SLC36A4	PLCB4	ANXA2	ANXA13	TSPAN1	GMDS	ITGA6	NAV1
EZR	GEM	AURKB	UGDH	ASPH	B2M	GPSM2	SEMA3C	KLK10	CDC45	SLC38A11	FIRRE	IFIH1	UACA	ANXA13	ANXA3	LIPH	GPR173
ENC1	ODC1	CNTRL	SEC61A1	AC091563.1	GRAMD1A	HMMR	RNF213	UST	MELK	GMDS	FMNL2	HSD17B2	MYRFL	EPB41L1	PTGR1	TCP11L2	ROBO2
ETS2	MALAT1	KIF4A	FAM129A	NTN4	HIST1H2AC	CCNB2	LIMCH1	MDK	CENPK	RAB30	KIAA1549	RRBP1	TMPRSS4	ITGA6	CAPN2	KLK6	RGS7
IVNS1ABP	PARD3B	STIL	ATF3	TNFRSF11B	SLC14A1	PARPBP	CFTR	SSFA2	TUBA1B	HPCAL1	PCSK5	MLXIP	MSN	GOT1	SDCBP2	ABHD2	TEX9
FRAS1	HNF4A	SKA2	PLA2G4C	SLCO5A1	RNF24	CCDC18	ROR1	GRAMD1A	SKA3	ZBTB20	CREB5	GARS	ME1	NUDC	PKIB	KPNA2	ASPH
GPX2	ABHD2	CIT	NEBL	LNX1	INSIG1	PTTG1	BPTF	RGCC	BRIP1	BAZ2B	EEF1A2	TMEM140	MIA2	SAMHD1	SKAP1	TFPI	ST6GAL1
