0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
CD24	MSLN	RPS2	CD24	TFF3	CD24	LCN2	CD24	CA7	RPS2	GOLM1	GOLM1	CD24	CD24	MSLN	RPS2	TFF3	OTOP2
LCN2	RPS2	LCN2	LGALS4	SPINK1	RPS2	RPS2	RPS2	OTOP2	LGALS4	SPINK1	RACK1	LCN2	RPS2	CA7	CD24	CD24	SPINK1
PAPSS2	UNC5C	LGALS4	RPS2	KLK1	PAPSS2	CD24	PAPSS2	RPS2	LCN2	FTH1	CD44	RPS2	SH3KBP1	OTOP2	RPL36	SPINK1	PLVAP
RPS2	CA7	KLK1	ATP5MC1	GOLM1	SPINK1	PAPSS2	RPL36	CD24	RPL36	RPS6	ATP5MC1	PBK	EIF3D	MEIS1	SPINK1	KLK1	CEACAM3
SPINK1	LCN2	PBK	CA2	VSIG2	LGALS4	KLK1	CDH17	LGALS4	CDH17	RPL36	LGALS4	PAPSS2	AC008397.1	LCN2	LGALS4	MUC2	AC069277.1
LGALS4	GOLM1	CDH17	ETHE1	RPS2	VSIG2	RPL36	CENPF	MSLN	RPS6	ATP5F1B	FTH1	GOLM1	GOLM1	UNC5C	LCN2	TMEM45B	PAPSS2
RPL36	MEIS1	SPINK1	PAPSS2	LGALS4	CDH17	FTH1	LCN2	TMEM45B	CD44	LGALS4	RPS6	CD44	LGALS4	ADCY5	SH3KBP1	PAPSS2	LGALS4
CDH17	HSPA8	PAPSS2	SLC12A2	TMPRSS2	CD44	SH3KBP1	ACVRL1	ADCY5	PAPSS2	SLC12A2	NAP1L1	TOP2A	FABP1	LYPD8	SLC12A2	ETHE1	CD24
ATP5MC1	EIF3D	RPS6	CDH17	SLC12A2	TMEM45B	ETHE1	CD44	CEACAM6	FTH1	RPS2	HSPA8	RPL36	VSIG2	CEACAM6	ETHE1	SH3KBP1	UNC5C
FTH1	ADCY5	RPL36	LCN2	MUC2	PRSS3	ZWINT	SLC12A2	CDH17	RACK1	HSPA8	SLC12A2	FTH1	ATP5MC1	SPINK1	ATP5MC1	LCN2	ACVRL1
SH3KBP1	TMIGD1	SLC12A2	CD44	CAPN9	ATP5MC1	CD44	TOP2A	GOLM1	GOLM1	EIF3D	TSPAN8	TMEM45B	HSPA8	RPS2	TMEM45B	AC008397.1	GOLM1
ETHE1	CEACAM6	GPRC5A	HSPA8	HSPA8	CA2	SPINK1	FTH1	FABP5	NFKBIA	KRAS	ATP1B3	NUSAP1	PRSS3	PAPSS2	AC008397.1	GOLM1	ETHE1
FAM13A	NFKBIA	VSIG2	TMEM45B	MT1H	RPL36	NFKBIA	SPINK1	CA2	SH3KBP1	ST6GALNAC1	RPS2	ZWINT	PAPSS2	CA4	ST6GALNAC1	VSIG2	CA2
AC008397.1	FABP5	FTH1	FAM13A	NAP1L1	FABP1	LGALS4	EIF3D	ATP5F1B	ETHE1	PDLIM5	TXN	CENPF	SPINK1	SLC12A2	CDH17	MGLL	RPL36
NAP1L1	CA4	CENPH	GOLM1	CD44	FTH1	MUC2	LGALS4	PRSS3	SLC12A2	NEDD4L	NEBL	NAP1L1	LCN2	CA2	ATP1B3	HPCAL1	DMBT1
CA2	ATP5MC1	GOLM1	FTH1	ANXA4	FAM13A	RAD51AP1	ASPM	MGLL	AC008397.1	TXN	SNTB1	TSC22D2	ETHE1	RPL36	ANXA4	KCNMA1	RACK1
TMEM45B	ST6GALNAC1	NFKBIA	NAP1L1	C1orf21	RACK1	VSIG2	SH3KBP1	FABP1	GPRC5A	CYP3A5	SNHG19	SPINK1	EPHB2	ATP5MC1	FAM13A	HSPA8	AC024610.2
PRSS3	DMBT1	ETHE1	ACVRL1	GALNT8	TSPAN8	TMEM54	MGLL	RACK1	ATP5F1B	TLE4	LINC02086	KIF4A	C10orf99	PROX1	TMPRSS2	ATF3	MS4A12
VSIG2	RACK1	SH3KBP1	PRSS3	EPHB2	NAP1L1	PBK	PRSS3	TUBA1C	ATP5MC1	SLC4A4	CDK6	ETHE1	TCF7L2	DMBT1	RPS6	NEDD4L	FABP1
HSPA8	TMEM45B	TMEM45B	RPS6	AC005833.1	TMEM54	RACK1	TMEM45B	GPRC5A	SNHG19	IDI1	FABP5	ASPM	TLE4	SH3KBP1	EPHB2	KRT20	CA4
ACVRL1	NEBL	EIF3D	AC008397.1	MYH14	SH3KBP1	PRSS3	NAP1L1	VSIG2	HEPH	KIAA1324	CAPZA1	RACK1	TMEM45B	ETHE1	FTH1	SELENOP	RPS2
RACK1	SCNN1B	CD44	FLNB	CPEB4	LINC02023	GALNT8	SNHG19	CEACAM3	FABP5	MIER1	AC008397.1	SNHG19	NAP1L1	PYY	KIAA1324	ADH1C	TMEM45B
FLNB	ANPEP	KIF4A	SH3KBP1	IFI27L2	EXPH5	GOLM1	TLE4	NAP1L1	ATP1B3	TPRKB	SLC4A4	NFKBIA	FTH1	KRT20	NAP1L1	C19orf33	HGD
CD44	MUC4	RACK1	ATP1B3	KCNMA1	AC008397.1	EIF3D	TSC22D2	UNC5C	ZWINT	C15orf48	RAB11FIP1	TSPAN8	NFKBIA	LGALS4	GPRC5A	ACVRL1	LYPD8
EIF3D	LDHA	TMEM54	CCDC107	SLC4A4	NEBL	AC008397.1	CCDC107	ACVRL1	SLC4A4	NAP1L1	EPHB2	CDH17	LINC02023	LGALS2	EIF3D	CYBA	RPS6
TLE4	AC024610.2	AC008397.1	SNHG19	DLL1	PDLIM5	RPS6	RACK1	SI	EPHB2	GRN	TMPRSS2	TMEM54	TUBA1C	CDH17	SLC4A4	SELENOK	SLC12A2
SNHG19	ADM	TOP2A	PDLIM5	EIF3D	C10orf99	ANXA4	VSIG2	PROX1	TLE4	SELENOW	TST	ANXA4	IL18	PRSS3	SEMA5A	HEPH	NEDD4L
MGLL	SH3KBP1	SLC4A4	MGLL	RPL36	HSPA8	LGALS2	ATP5MC1	EIF3D	VSIG2	LINC02086	ARHGDIA	EPHB2	FABP5	ACVRL1	HSPA8	TMEM54	SPPL2A
TMPRSS2	CA2	SULT1B1	EXPH5	MGLL	LCN2	MGLL	SLC4A4	TMEM54	NAP1L1	ATP5MC1	CYBA	RPS6	CD63	NEBL	CD44	AREG	CDH17
ATP1B3	TOMM40	ASPM	LGALS2	ST6GALNAC1	GPRC5A	SLC4A4	TMEM54	HPGD	TMEM45B	SNTB1	ZNRF3	TPX2	RAB11FIP1	TMEM45B	PRSS3	DEPTOR	SLC4A7
NFKBIA	ACVRL1	ATP5F1B	VSIG2	PLXDC2	NFKBIA	NCAPG2	SNTB1	C19orf33	PRSS3	PPARG	CRYL1	PRSS3	CDH17	FAM13A	SNHG19	C1orf21	ITGA3
GOLM1	C19orf33	CENPF	ATF3	C15orf48	SNHG19	SLC12A2	FLNB	ATP5MC1	PDLIM5	DACH1	DYNLL1	TMPRSS2	CA2	NFKBIA	MGLL	RASSF6	FAM13A
CCDC107	ATP5F1B	TSC22D2	SLC4A4	LINC00261	C19orf33	TLE4	NFKBIA	HSPA8	GPT	CD44	PREP	EIF3D	CCDC107	GPRC5A	CD63	MYH14	GCNT3
TSPAN1	C10orf99	EPHB2	NEBL	FAM177B	CCDC107	TMPRSS2	NEBL	FAM13A	ABCC3	PREP	HMGCS2	CAPZA1	MUC4	CDK18	MTUS1	GPT	HSPA8
CD63	SULT1B1	GALNT8	TSPAN8	SELENOK	EPHB2	GPRC5A	HEPH	HGD	TXN	LDHA	SRM	ATP1B3	PDLIM5	FTH1	ATP5F1B	PLXDC2	EMP1
EXPH5	DHRS9	ATP1B3	NXPE4	SPPL2A	ABCC3	TMEM45B	RPS6	ABCC3	SEMA5A	VILL	ATP5F1B	CYBA	GPRC5A	ABCC3	GOLM1	ARHGEF40	KIF20B
GPRC5A	DYNLL1	ST6GALNAC1	C19orf33	ATF3	HEPH	NDUFAF2	EPHB2	PKIB	SPPL2A	SNHG19	NDUFAF2	SLC12A2	ANXA4	CDK6	RACK1	KRAS	TMEM54
CYP3A5	CAPN8	DYNLL1	TSPAN1	RACK1	FNIP2	ATP5MC1	AC008397.1	AKR1C3	SULT1B1	ALDH1A1	RTCB	LGALS4	ABCC3	TSPAN8	TSC22D2	CBFA2T2	TUBA1C
HEPH	MS4A12	TXN	EIF3D	ABLIM1	C1orf21	KIF4A	SULT1B1	NEBL	CYBA	DYNLL1	AXDND1	SLC4A4	TNFRSF1A	CNN3	CYBA	CDH17	ATP5F1B
ANXA4	B3GALT5	ATP5MC1	CDK6	PKP2	MT1H	TSPAN8	CDK6	IDI1	DYNLL1	SMIM31	ESF1	CENPH	GRN	NEURL1	EXPH5	TXN	GPRC5A
PDLIM5	CDK18	HPCAL1	ANPEP	DNAJC12	TXN	ATP1B3	TSPAN1	SPPL2A	FBXO33	CNN3	CTTN	MYH14	ATP1B3	LGALS9B	CDK6	GALNT8	NAP1L1
RPS6	NOTCH2	TOMM40	ANXA4	SLC4A7	CDK6	TYMS	ATP1B3	MGST3	TMPRSS2	NFKBIA	SEMA5A	ASF1B	C19orf33	CYBA	C10orf99	RACK1	NOTCH2
SLC4A4	LGALS4	SMC2	EPHB2	PREP	SNTB1	CYP3A5	CDKN3	LGALS9B	GPX2	CBX5	DACH1	AC008397.1	CDKN2B	SLC4A4	MT1F	GNA11	SI
