0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
ARHGAP26	MALAT1	ARHGAP26	ARHGAP26	ATOH8	ARHGAP26	FANCI	AOAH	MALAT1	ARHGAP26	PRKDC	NEAT1	FANCI	KRT19	FABP1	KRT19	EXOSC8	RGS16
MALAT1	EXOSC8	FABP1	EXOSC8	FABP1	MALAT1	MELK	CHEK1	NEAT1	NCAPH	CFTR	SORL1	BRCA1	KRT20	PDXK	MALAT1	SLC7A1	TRMT9B
EXOSC8	PRKDC	CDK1	SORL1	MYOF	PRKDC	BRCA1	LCN15	EXOSC8	FABP1	AOAH	SLC7A5	BRCA2	GPSM2	GPR160	PRKDC	PRKDC	VWA5B2
PRKDC	FOS	CFTR	MALAT1	MALAT1	NEAT1	CENPK	PRKDC	CFTR	KRT19	EFNB2	KRT20	CENPK	PRKDC	EXOSC8	FOS	MALAT1	ST18
AOAH	MTHFD1L	LCN15	KRT19	SMC6	SORL1	BARD1	CDKN3	FOS	AOAH	LGALS3	FABP1	PRKDC	ARHGAP5	MYOF	LCN15	FTH1	SYT13
NUP107	LCN15	CKAP2L	LCN15	B3GNT6	FOS	BRCA2	FABP1	SLC7A5	ANLN	FTH1	DACH1	NCAPG	EXOSC8	GPA33	EFNB2	ARHGAP26	OR51E1
FTH1	UQCC2	ENO1	CFTR	NEAT1	UQCC2	UBE2T	FDPS	NUP107	BRIP1	MALAT1	ANTXR2	SKA3	ZBTB20	SORL1	FTH1	AOAH	RUNX1T1
KRT20	HACD3	LGALS3	PRKDC	NUP107	HACD3	CHEK1	NASP	CREBRF	LCN15	KRT20	EXOSC8	NCAPH	SLC7A5	ELOVL6	ARHGAP5	PSMD11	RGS7
EFNB2	CCT5	AOAH	ZBTB20	EFNB2	AOAH	FABP1	AKAP7	CCT5	NCAPG	SORL1	FOS	AURKB	TSPAN8	BCL11B	SMC6	UQCC2	RFX6
MYOF	SMC6	CDCA2	EFNB2	PSIP1	MTHFD1L	PRKDC	NEAT1	FABP1	POLQ	KRT19	VAV3	SMC4	SRGAP1	MEF2C	EXOSC8	VAV3	MSH2
SMC6	CFTR	TOP2A	AOAH	KRT20	KRT20	ASF1B	DEK	PRKDC	MAML2	FABP1	PRKDC	CENPW	SORL1	MISP	CFTR	ACTL6A	CBFA2T3
NEAT1	CMC2	TSPAN8	KRT20	GPR160	FTH1	EZH2	CCNB1	PSIP1	TACC3	SMC6	NASP	FANCD2	MEF2C	CCT5	FABP1	ARHGAP5	DDX46
FOS	SESN3	MUC12	NUP107	PSMD11	CFTR	LCN15	POLD2	SORL1	LGALS3	PSIP1	ZNF462	CIP2A	NUP107	MYB	SESN3	FABP1	EZH2
SESN3	NOLC1	TMPO	SLC7A1	RPL22L1	NUP107	NEAT1	MYOF	SMC6	BRCA1	ELOVL6	PAPSS2	EZH2	CMC2	LGALS3	LDHA	CMC2	SETBP1
PRSS3	PDXK	SORL1	ZNF462	SORL1	SESN3	EXOSC8	CSE1L	VPS13C	CFTR	FDPS	BCL11B	CDKN3	EPB41L1	STXBP6	ANTXR2	SMC6	ASXL3
SRGAP1	HSPH1	MEF2C	GPSM2	VAV3	DACH1	POLQ	GGH	LCN15	GGH	CCT5	SMC6	LCN15	FTH1	DBF4	PSMD11	SESN3	NFIB
ANTXR2	HMGCS1	KIF4A	TBC1D4	FERMT1	TSPAN8	ZNF462	CENPW	KRT19	ZNF462	TBC1D4	ELOVL6	SMC2	CREBRF	TCOF1	CMC2	LDHA	UCP2
ZBTB20	PSMD11	BUB1	CCT5	ENO1	MTUS1	SMC6	EFNB2	HSPH1	KIF20B	NUP107	CMC2	CHEK1	HACD3	ADORA2B	ENO1	LCN15	CIT
KRT19	ENO1	ZNF462	SESN3	REG4	GPSM2	FANCD2	VRK1	ZNF462	NEAT1	CLMN	NUP107	POLD2	ENO1	HSPH1	CHCHD10	PAPSS2	CCT5
CLMN	ELOVL6	NEAT1	MEF2C	CCT5	HSPH1	SKA3	SESN3	HIST1H2AC	CKS2	PLCE1	RPL22L1	GTSE1	FOS	AKAP7	ACTL6A	KRT20	SMC6
LGALS3	NUCKS1	CCNB1	MIS18BP1	MAGOHB	PAPSS2	AURKB	SMC6	PAPSS2	MKI67	LCN15	GPSM2	TACC3	SESN3	HACD3	SRGAP1	CCT5	PSMD1
CCT5	CREBRF	SRGAP1	FABP1	FER1L6	RAD21	AKAP7	EPB41L1	HACD3	BRCA2	FOS	MEF2C	ATP5MC1	NOLC1	PRKDC	ZBTB20	MIS18BP1	SMAD9
DACH1	ACTL6A	TBC1D4	SLC7A5	CREB3L1	PRSS3	ITGB3BP	BRI3BP	SLC1A1	HJURP	EXOSC8	MALAT1	AKAP7	FBXL20	BRI3BP	FAM214A	BCL11B	HAT1
ENO1	SLC7A5	MYOF	NFIB	HIST1H2AC	ANTXR2	CENPJ	CLMN	MUC12	MEF2C	SRGAP1	NFIB	DTYMK	EMP2	ZNF462	EMP2	NUP107	ANTXR2
SORL1	ZNF462	MAML2	SMC6	C10orf99	EXOSC8	MND1	ANTXR2	CNTRL	CKAP5	NOLC1	PLAGL1	ATAD5	TBC1D4	NOLC1	BRI3BP	CFTR	PRKDC
MEF2C	POLD2	GGH	MUC12	DDX46	PLCE1	NCAPG2	VAV3	ANTXR2	KIF18B	EPB41L1	ACTB	TOP2A	MTHFD1L	ARHGAP26	GSN	CNTRL	MAML2
SLC7A1	LDHA	CENPW	FOS	NUP58	ATF3	CENPW	DTYMK	VAV3	SMC4	MYOF	MTHFD1L	CSE1L	NFIB	CDKN3	DDX46	EPB41L1	RIF1
NFIB	CHCHD10	AURKA	ACTL6A	RIF1	EMP2	ATAD5	EZH2	SESN3	ECT2	ACTL6A	GTF3A	ITGB3BP	SLC7A1	MAML2	PAPSS2	MEF2C	CCT3
ELOVL6	DDX46	FAM83D	NUCKS1	HACD3	NOLC1	ACTL6A	ACTL6A	AKAP7	FOXM1	MEF2C	GAS2L3	BARD1	FAM214A	FERMT1	ARHGAP26	LGALS3	MAP2
MTHFD1L	ACSL3	GTSE1	ENO1	CREBRF	ARHGAP5	CHCHD10	HACD3	CLMN	MELK	PAPSS2	KLF12	TMPO	EIF2S1	UMPS	CCT5	SEMA5A	VAV3
TSPAN8	ANTXR2	FERMT1	GSN	NFIB	CCT5	NCAPH	EXOSC8	ADD3	AKAP7	ARHGAP26	LGALS3	FABP1	MAST4	GPSM2	EPB41L1	EIF2S1	UMPS
ATF3	FAM214A	PLCE1	SEMA5A	ACTL6A	SLC7A5	TFDP1	HSPA8	LGALS3	UQCC2	PRSS3	JPH1	TFDP1	ACTL6A	SLC7A5	NOLC1	KRT19	USP14
CMC2	YPEL2	EFNB2	IDI1	SLC7A1	UMPS	POLD2	PTTG1	MYB	HSPA8	MUC12	ZBTB20	KIF4A	ATF3	ARHGAP5	ELOVL6	KIF21A	ATOH8
NOP16	UMPS	CDC25C	ELOVL6	CDK6	ZNF462	KIFC1	NUP107	ARID5B	OIP5	HACD3	UQCC2	NCAPD3	GSN	NUP107	DACH1	FERMT1	CEMIP2
CREBRF	FTH1	KNL1	KIF21A	MXI1	IDI1	PLCE1	ATP5MC1	KLF12	PPARG	NFIB	IDI1	LMNB1	C10orf99	CSE1L	SLC2A1	GPSM2	AAK1
SEMA5A	PNO1	PPARG	EPB41L1	PDCD4	HSPA8	CENPN	SKA2	NOLC1	ADORA2B	SH3KBP1	ARID5B	SMC6	PAPSS2	MUC12	HACD3	SMC5	NPTX2
HSPA8	HIST1H2AC	ATF3	FDPS	AOAH	GPR160	BCL11B	RUBCNL	MTHFD1L	TMPO	TSPAN8	MYB	CDCA2	SEMA5A	CLMN	RPL22L1	PRSS3	RAB40B
UQCC2	PUM3	HSPH1	MTHFD1L	MIS18BP1	ANXA4	NDC80	PPARG	GGH	GAS2L3	CREBRF	KIF21A	DIAPH3	ZNF462	TSPAN8	GPSM2	TBC1D4	GSN
HACD3	TBC1D4	AKAP7	SRGAP1	DNAJC12	PPARG	FERMT1	MUC12	PSMD11	ESCO2	PTMA	ACTL6A	FERMT1	ANTXR2	FDPS	UMPS	ARID5B	CMC2
PSMD11	IDI1	SEMA5A	PSMD11	MISP	FAM214A	ATP5MC1	PSMD11	FAT1	KIFC1	MISP	SESN3	MYOF	PTMA	PLCE1	GPA33	MTUS1	BCL2L1
UMPS	FDPS	GPR160	UMPS	EIF4EBP1	CREBRF	NCAPD3	SLC7A1	PLAGL1	TSPAN8	MTHFD1L	CCDC47	KIF20B	CLIP2	RAB40B	CREBRF	ADD3	CACNA2D1
FABP1	PRPS2	GTF3A	ACSL3	AKAP7	SLC7A1	FOXM1	FDFT1	EIF2S1	CENPW	PDCD4	UMPS	ASPM	MYOF	DMKN	KIF21A	GPATCH4	STXBP5L
NOLC1	PAPSS2	RUBCNL	EIF2S1	FAM13A	MISP	CIP2A	HAT1	PIK3R1	TCOF1	FDFT1	TSPAN8	KIF14	HBP1	GGH	WDR43	ELOVL6	EMP2
EPB41L1	DKC1	MCM10	NOLC1	HBEGF	ZBTB20	RAD51AP1	PDE8A	UMPS	GPSM2	PPARG	PSIP1	KIFC1	ARID5B	HMGN2	MIS18BP1	KIDINS220	CENPJ
MIS18BP1	CLIP2	KRT19	PUM3	BCL2L1	BCL11B	BRI3BP	TSPAN8	TBC1D4	MUC12	ACSL3	DDX46	TTF2	RPL22L1	PSIP1	MYOF	HACD3	P4HA1
HIST1H2AC	FAT1	GAS2L3	SLC2A1	C1orf21	DDX46	CENPH	CREBRF	KIF21A	GTF3A	UMPS	NOLC1	FOXM1	SH3KBP1	GSN	LMNA	CREBRF	NFASC
DDX46	KIF21A	ELOVL6	HMGCS1	EIF2S1	SRGAP1	NOLC1	CNTRL	RAD21	RPL22L1	HEPH	CCT5	BUB1	GTF3A	ACSL3	UQCC2	ATRX	DDX10
