0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
SLC7A1	SLC7A1	HSPA8	TOP2A	BRCA1	PSIP1	SLC7A1	PLCB4	TFDP1	HSPA8	ATOH8	CDK1	BRCA1	HNRNPAB	PAPSS2	PSIP1	TCOF1	RFX6
PRKDC	CCT5	CMSS1	TMPO	BRCA2	CMSS1	RNF157	HNRNPAB	CCNB1	NSD2	EYA2	ECT2	CCNB1	PAPSS2	TCOF1	HSPA8	SORL1	SYT13
PAPSS2	SMC6	SLC7A1	PTMA	FANCI	HNRNPR	PAPSS2	SLC7A5	CSE1L	LCN15	PAPSS2	PLCB4	BRCA2	HSPA8	NEAT1	CMSS1	PRKDC	SETBP1
SLC7A5	SLC7A5	SLC7A5	PLCB4	SKA3	PLCB4	HNRNPR	CSE1L	ECT2	SMC6	PSMD1	TACC3	SKA3	PTMA	ELOVL6	HNRNPAB	BRI3BP	SPINK4
BRI3BP	MTHFD1L	HNRNPR	ATP5MC1	ATAD5	PRKDC	SEMA6A	HSPA8	PRKDC	PTMA	SPINK4	KRT19	MELK	SLC7A1	ATP9A	PTMA	PSMD1	OR51E1
HSPA8	PAPSS2	MTHFD1L	CCNB1	TK1	HSPA8	SORL1	PSIP1	DEK	SORL1	SMC6	HSPA8	TOP2A	SORL1	GPR160	UQCC2	SNRPB	ATOH8
FDFT1	CDK5RAP2	ZBTB20	CCT5	ATP5MC1	SLC7A5	CSE1L	DBI	NEAT1	PLCB4	REG4	NCAPH	CSE1L	KRT19	SORL1	LCN15	POLD2	PAX4
SORL1	UQCC2	CMC2	PSMD1	MELK	DSG3	UQCC2	PTMA	ATAD5	CMC2	RIF1	KIF18B	CENPW	SLC7A5	HNRNPAB	NOLC1	P4HA1	PAPSS2
POLD2	NUCKS1	CCT5	SNRPB	TFDP1	RNF157	HNRNPAB	PRKDC	EMP2	PRKDC	SLC7A1	KIF20B	CIP2A	NEAT1	SUPT16H	PRKDC	HNRNPAB	PDS5B
ATP5MC1	PRKDC	UQCC2	NEAT1	PSIP1	PTMA	ZBTB20	BRI3BP	ATP5MC1	HNRNPR	NSD2	HNRNPAB	ATAD5	PUS7	PSMD1	PLCB4	CCT5	EYA2
CMSS1	SRRT	SEMA6A	KRT19	CHEK1	HNRNPAB	PUS7	SMC1A	TCOF1	CCT5	MTHFD1L	BRCA1	TFDP1	PIGZ	BRI3BP	AKAP7	ECT2	NOL4
CCT5	NOLC1	PRKDC	KIF18A	ASF1B	NUCKS1	SMC6	SLC7A1	HNRNPAB	PHGR1	PHGR1	CKAP5	ARHGAP11A	CMSS1	PSMD11	SLC7A5	ATP5MC1	CACNA2D1
DSG3	PSMD11	DSG3	CDKN3	TYMS	FXYD3	PIGZ	CMSS1	RNASEH2B	LDHA	SEMA6A	SNRPB	ATP5MC1	PSIP1	NOLC1	FXYD3	HAT1	SUZ12
RNF157	CMSS1	PSMD1	KPNA3	CENPK	CMC2	SESN3	RNF157	CMSS1	ATP9A	SRRT	NEAT1	ASF1B	ATP9A	PLCB4	DBI	HMGN2	RGS7
NEAT1	CMC2	FXYD3	HSPD1	DNMT1	UQCC2	NOLC1	CCT5	BARD1	PSIP1	CBFA2T3	KPNA3	DIAPH3	PHGR1	P4HA1	ZBTB20	FDFT1	RIF1
MYOF	HNRNPR	LDHA	FDFT1	SMC4	SLC7A1	BRI3BP	AKAP7	PSIP1	HSPD1	HNRNPR	SEMA6A	ECT2	NUCKS1	MYOF	SLC7A1	SLC7A1	MAP1B
CSE1L	SUPT16H	PSMD11	HSPA8	CIP2A	CCDC88A	KRT19	EIF2S1	PTTG1	CSE1L	CIT	PTMA	NCAPG	DBI	VRK1	HNRNPR	GPSM2	SMC6
CMC2	SESN3	PAPSS2	KIF18B	UBE2T	ATP1B1	HSPA8	CMC2	TBCD	NEAT1	GPSM2	SMC4	PLCB4	HSPD1	GPA33	CMC2	ANP32E	CASC15
DBI	ACSL3	ZNF292	P4HA1	NEAT1	LDHA	POLD2	UQCC2	IARS	CBFA2T3	MYOF	NCAPG	KIF18B	ITGA9	CDKN3	KRT19	PTMA	NEAT1
HNRNPR	NUP107	CDK5RAP2	HMGN2	ESCO2	TBCD	PLCB4	PAPSS2	SLC39A5	ELOVL6	NR4A1	HMGN2	SNRPB	UQCC2	DEK	CCT5	GGH	LHFPL6
SEMA6A	NFIB	SMC6	ENO1	DIAPH3	CSE1L	ANXA4	GABRA2	PSMD1	CMSS1	PTMA	PARPBP	TMPO	PRKDC	SLC7A5	DSG3	TTF2	PTPRN2
PSIP1	RIF1	PSIP1	SLC44A1	PRKDC	FTH1	PRKDC	TBCD	SMC2	MYOF	PDS5B	DBI	PRKDC	ZWILCH	DHFR	RNF157	EZH2	CIT
PUS7	KCNQ1	NEAT1	ZNF292	PDS5B	PHGR1	MALAT1	GCNT1	NSD2	SLC7A1	SPDEF	PHGR1	SMC4	ATP1B1	GCNT1	ZNF292	PA2G4	LINC02086
UQCC2	MALAT1	HNRNPAB	KNL1	SIVA1	PAPSS2	ZNF292	MALAT1	UQCC2	SUZ12	C1orf21	CIT	PSIP1	TBCD	NSD2	FTH1	CCT6A	SRPK1
ATP1B1	ABCC4	PUS7	MCM10	EZH2	DBI	HSPD1	ITGA9	PSMD11	NOLC1	SLC39A5	FDFT1	TTK	KLF12	NUCKS1	RIF1	CTNNAL1	NFAT5
ARHGAP26	DBI	MALAT1	PSMD11	NSD2	ZNF292	MTHFD1L	RIF1	ANP32E	SMAD9	AKAP7	MKI67	TPX2	RNF157	MISP	LDHA	ITGA9	NR4A1
ZNF292	C1orf21	PIGZ	CEP55	RIF1	SRRT	NUCKS1	SESN3	ACTL6A	UQCC2	CCT6A	P4HA1	SMC2	NOLC1	SRM	PSMD11	PAPSS2	SESN3
NUCKS1	SEMA6A	CSE1L	TTK	NCAPD3	ZBTB20	MUC12	ENO1	PTMA	CDK19	NDE1	PIGZ	CMSS1	LCN15	SMC4	CDK5RAP2	MUC12	ITGA9
MALAT1	ZNF292	NUCKS1	ITGA9	CSE1L	SORL1	C1orf21	HNRNPR	PHGR1	CDK5RAP2	FTH1	PSMD1	CENPK	FDFT1	CKS2	SEMA6A	LBR	RAD21
ENO1	PLCB4	PHGR1	CFTR	KIFC1	KRT19	FBXL20	ZBTB20	LCN15	FTH1	ACSL3	ANLN	TK1	POLD2	RNF157	KCNQ1	C7orf50	GUCY2C
PLCB4	ENO1	ACSL3	SEMA6A	SMC2	MALAT1	CMSS1	SUPT16H	NUCKS1	NUCKS1	GPR160	CKAP2	EZH2	DGKD	MYB	MTHFD1	NFIB	HIST1H2AC
PIGZ	YPEL2	MYOF	HNRNPAB	SLC7A1	CCT5	CDK5RAP2	HAT1	EZH2	RIF1	ZBTB20	SASS6	CCNB2	MAP4K4	TYMS	NUCKS1	ATP9A	PSMD1
TBCD	ARL13B	UBE2H	GPX2	POLQ	CDK5RAP2	FDFT1	RNASEH2B	PRPS2	DSG3	LCN15	TMPO	POLD2	FTH1	C1orf21	MAP4K4	TFDP1	TFCP2L1
SESN3	FDFT1	PLCB4	PARPBP	NCAPG	C1orf21	NDC1	SORL1	HSPA8	NUP107	RAD21	PSMD11	KNL1	SUZ12	STXBP6	ACSL3	KCNQ1	NFATC2
SUPT16H	PNO1	ATP1B1	DBI	SNRPB	ELOVL6	ACSL3	LCN15	PARPBP	DBI	KIAA1109	ZNF292	KIF20B	MTHFD1L	GPSM2	SMC6	PSIP1	CDC27
HNRNPAB	HACD3	FTH1	TJP3	TEX30	MTHFD1L	USP14	PSMD11	AKAP7	ACSL3	SMC3	BUB1B	ESCO2	CSE1L	KRT19	CSE1L	LDHA	HNRNPD
KRT19	TRABD2A	PNO1	LCN15	WDR34	PNO1	ITGA9	FBXL20	USP14	SUPT16H	NUP58	POLQ	BUB1	NR4A1	SIVA1	YPEL2	PPM1G	ATP9A
HSPD1	KIF21A	FBXL20	FCGRT	BARD1	LCN15	FTH1	ZWILCH	PROS1	ATP1B1	ATP9A	ITGA9	NEAT1	PSMD1	NR4A1	NDC1	TBCD	BAZ1B
FTH1	HMGCR	SESN3	ZNF462	PLCB4	MAP4K4	PNO1	KPNA3	RIF1	MUC12	PRKACB	DEK	CHEK1	ABCC4	CDK5RAP2	CHCHD10	GPR160	RIMBP2
HMGN2	SUZ12	SRRT	KLC4	NCAPG2	ZNF462	CMC2	POLD2	DHFR	FXYD3	TNFRSF11A	TCOF1	SKA2	NFIB	NOM1	FBXL20	HACD3	CEMIP2
GPSM2	CFTR	FDFT1	PHGR1	TMPO	ENO1	PSMD11	NUCKS1	KIAA1217	FDFT1	GUCY2C	ATP5MC1	NSD2	CDK5RAP2	ANP32E	HACD3	ZNF462	KLC4
CDK5RAP2	HSPA8	ATP9A	BRCA1	CENPW	ATP9A	SLC7A5	SMC6	ACTB	CFTR	KPNA3	KIFC1	NCAPD3	TFCP2L1	LGALS4	PIGZ	SMC6	KIF21A
ELOVL6	FOS	USP14	AKAP7	ARHGAP11A	POLD2	SUZ12	UBE2H	NCAPD3	RAD21	FXYD3	CCT5	CEP55	MUC12	TINAG	PSMD1	ATP1B1	VAV3
SLC44A1	CCDC88A	RNF157	GPSM2	SUZ12	FBXL20	PSMD1	DYNLL1	SLC7A5	TBCD	CDK19	KLF12	AKAP7	TRIB1	PRKDC	UBE2H	GBE1	HNRNPR
SNRPB	TBC1D4	NOLC1	CHEK1	RRM1	UBE2H	GPR160	CDK5RAP2	CDKN3	HIST1H2AC	RETNLB	MELK	TACC3	GPX2	C7orf50	CFTR	ME1	PIGZ
MTHFD1L	FAT1	RIF1	LGALS4	PSMD1	GPSM2	EMP2	ZNF292	MUC12	BAZ1B	NUCKS1	ARHGAP26	CDKN3	CMC2	TSPAN8	TBCD	NUP58	DENND4C
PTMA	LGALS4	LCN15	NOLC1	CCNB1	MYOF	SRRT	TTF2	HMGN2	CCDC88A	HACD3	LCN15	DEK	STRN3	ZNF462	MALAT1	TINAG	UQCC2
PSMD11	GMPS	C1orf21	ARHGAP11A	DHFR	ACSL3	CCDC88A	GPR160	LSM3	PDCD4	UBE2H	TRIB1	DEPDC1B	LBR	LGALS3	SUPT16H	HSPA8	BCL2L1
ATP9A	EIF2S1	SUPT16H	NR4A1	XRCC2	FDFT1	DENND4C	MTHFD1L	KPNA3	PIGZ	EMB	FTH1	DLGAP5	CCT5	SLC7A1	CCDC88A	PLOD2	ABAT
LBR	FBXL20	ATP5MC1	PTTG1	CENPJ	SUZ12	CCT5	MTHFD1	NR4A1	PPM1G	VAV3	CENPJ	ANLN	ATP5MC1	CDK19	P4HA1	RAD21	KIAA1217
DENND4C	ACAT1	MYO7B	MCM4	PAPSS2	SLC39A5	ABCC4	TNFRSF11A	HACD3	ATOH8	ZNF827	CFTR	RIF1	DDX21	PCF11	MTHFD1L	IGFBP4	KLHL32
FBXL20	LDHA	KLF12	PUS7	GMNN	KCNQ1	SUPT16H	PDS5B	KLF12	C7orf50	EIF2S1	TINAG	RNASEH2B	CCT3	HACD3	ABCC4	CSE1L	MYT1
ACTB	GPA33	NFIB	NCAPH	SUPT16H	MUC12	HIST1H2AC	NDC1	P4HA1	CCT6A	CCT5	OIP5	SUZ12	CCDC88A	TUBA1C	PAPSS2	GMPS	TNS3
P4HA1	ZBED3	CCDC88A	CDK1	DEK	RIF1	RIF1	ACSL3	HAT1	EIF2S1	EPHX2	GPSM2	GMNN	SULT2B1	TJP3	FDFT1	IARS	CCT5
LDHA	GCNT1	HACD3	BOLA3	LCN15	NOC3L	MYO7B	HACD3	KCNQ1	EMP2	KRT19	PROS1	GTSE1	SLC44A1	CCT5	PLA2G10	NOLC1	RB1
HACD3	KPNA3	SORL1	PIGZ	CDK1	HSPD1	GBE1	USP14	ATP1B1	ABCC4	CFTR	ESCO2	KIF2C	ARHGAP26	PSIP1	CDK19	TNFRSF11A	ATP8A1
PSMD1	CTSC	SEMA5A	TINAG	TACC3	PSMB3	TNS4	ABCC4	SKA2	HNRNPD	TSPAN8	UBE2S	DNMT1	DEK	ANAPC11	ANXA4	TTL	AKAP13
UBE2H	TFDP1	HSPD1	ANP32E	SMC1A	NOLC1	GCNT1	PSMD1	GGH	PNO1	TINAG	ACTB	FOXM1	SESN3	IGFBP4	PHGR1	ACAT1	EIF4G1
PNO1	VPS13C	KRT19	BUB1	BRI3BP	GCNT1	NR4A1	SRRT	TTF2	ENO1	SORL1	GPX2	SLC7A1	MYOF	ZWILCH	MCMBP	DEK	EZH2
C1orf21	TNFRSF11A	MTHFD1	PROS1	DSN1	PIGZ	LDHA	MAST4	SRPK1	PSMD1	PLOD2	MUC12	VRK1	PPM1G	SLC44A4	SLC39A5	C1orf21	RAB40B
USP14	NOM1	MTUS1	SEMA5A	ZNF292	MTHFD1	ARHGAP26	LDHA	ANXA4	MAST4	LDHA	HSPD1	PDS5B	PDS5B	FAM162A	NUP107	RIF1	ACSL3
GABRA2	MCMBP	YPEL2	KLF12	C1orf21	KLF12	TJP3	PSMB3	CHEK1	C1orf21	SMAD9	SPDL1	RFC3	FBXL20	ATP1B1	C1orf21	ZWILCH	HEPH
