0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
TMSB10	ADAMTS6	PARP14	NDC80	PARP14	EIF2AK2	IFI27	CMSS1	TMSB10	NEURL1	ACTG1	TMSB10	UBE2T	CALM1	ARID5B	PARP14	PARP14	CDH22
TMEM54	ENC1	RNF213	ENC1	TMSB10	CALM1	TMSB10	ENC1	CFTR	ACTG1	MX1	SNTB1	CENPK	CFTR	IFI27	IFI27	IFI27	ARL6IP4
ARID5B	NQO1	ADAMTS6	MKI67	UBE2T	TM4SF4	NQO1	CFTR	CENPW	PTMA	TMSB10	TMEM54	IFI27	SNTB1	SLC7A11	TMSB10	SELENOF	ACYP2
IFI27	IFI27	IFI27	TMEM54	CALM1	SLC7A11	TMEM54	CD44	ENC1	IFI27	SULT2B1	CFTR	ARID5B	ACTG1	TMEM54	ACTG1	PYGB	ARID5B
NQO1	CALM1	MX1	ARID5B	IFI27	CD44	SELENOF	ARHGAP29	SULT2B1	CMSS1	RPL28	NQO1	EIF2AK2	ENC1	CFTR	ARHGAP29	SLC7A11	CCNI
ADAMTS6	SELENOF	EIF2AK2	TMSB10	HERC6	SLC7A1	SLC7A11	ATP1B1	DEK	NQO1	ADAMTS6	ENC1	ENC1	PTMA	MYRFL	CALM1	SLC7A1	RNF213
SLC7A11	SULT2B1	SLC7A11	ADAMTS6	ARID5B	PSAT1	MYRFL	PSAT1	TMEM54	CALM1	LMO4	PTMA	MKI67	ARL6IP4	RNF213	MX1	CALM1	TSPAN3
CMSS1	PSAT1	SNTB1	NUSAP1	MX1	ENC1	PLSCR1	CHPT1	ADAMTS6	CFTR	PLSCR1	IFI27	RAD51AP1	NQO1	EIF2AK2	NQO1	SH3D19	PARP9
SELENOF	SLC7A5	HERC6	CFTR	RAD51AP1	LMO4	CMSS1	HSPD1	PKIB	ARL6IP4	MUC2	ARID5B	PIF1	PPA1	TMSB10	PSAT1	LMO4	ROR1
ASPHD1	S100P	ENC1	CALM1	ENC1	ALDH1A1	PLK2	ADAMTS6	SLC7A11	HSPD1	ASPHD1	ARHGAP29	ASPM	ARID5B	SLC7A1	HSPA8	S100P	EXOSC8
PTMA	CFTR	DDX58	IFI27	CENPK	ACSL5	PTMA	EIF2AK2	ARID5B	TMPO	HERC6	SELENOF	PLSCR1	DBI	SP100	ARID5B	DDX60L	PTMA
SULT2B1	SNTB1	CALM1	BUB1B	SLC7A1	PTMA	ENC1	SELENOF	SLC7A1	RPL28	CALM1	SLC7A11	CENPN	HSPD1	PLSCR1	ENC1	OAS1	HSPD1
EIF2AK2	MX1	SULT2B1	NQO1	PYGB	SPRED1	PYGB	SPRED1	CD44	SELENOF	IFI44L	EIF2AK2	KIF4A	TKT	PYGB	PLSCR1	PKIB	RGS4
PKIB	SLC7A11	CD44	TPX2	ADAMTS6	KRT20	SULT2B1	PTMA	PLAUR	RNF24	ARID5B	ASPHD1	MELK	PKIB	OAS1	SNTB1	ST3GAL1	EIF2AK2
TKT	ARL6IP4	PSAT1	SULT2B1	MELK	HSPD1	EPS8	H2AFV	SLC12A2	LMO4	PSAT1	ATXN1	CD44	SLC12A2	PLK2	EIF2AK2	RNF213	PNPT1
ACTG1	SLC7A1	CMSS1	CENPW	NQO1	GRAMD1B	TMEM45B	ACTG1	TMEM45B	IQGAP2	HSPA8	CIP2A	PYGB	MYRFL	SNTB1	HERC6	TMSB10	ADD3
SPRED1	NUDT4	ACTG1	SPRED1	OAS1	CSE1L	ACSL5	CALM1	IQGAP2	CCNI	EXOSC8	NCAPG	AURKB	PLSCR1	NQO1	LMO4	ASPHD1	VWA5B2
ARHGAP29	TMEM45B	NQO1	SNTB1	RNF213	RNF24	SBSPON	GRAMD1B	ARHGAP29	SP100	LAP3	RNF24	NDC80	PPARG	GPX2	PTMA	ACTG1	NOV
HSPA8	PYGB	CFTR	SELENOF	PLSCR1	SBSPON	HSPD1	BMP4	ACSL5	EIF2AK2	SPRED1	HSPD1	DIAPH3	HSPA8	CALM1	RPL28	RBCK1	TRPS1
SNTB1	EXOSC8	PLSCR1	MYBL2	DEK	SULT2B1	PADI1	SLC7A1	EIF2AK2	PPA1	SNTB1	DIAPH3	TOP2A	HSPA9	ZNF143	TMEM54	H2AFV	CBFA2T3
CALM1	PLSCR1	HSPD1	KIF2C	SULT2B1	SNHG8	DBI	TM4SF4	SKAP1	TKT	CACNA2D2	PLSCR1	NCAPG	EIF2AK2	ACSL5	HSPD1	OAS3	ZNF143
PYGB	LMO4	PKIB	ACTG1	ATXN1	H2AFV	ADD3	TSPAN3	HSPA9	ENC1	NEURL1	HSPA8	SLC12A2	LMO4	PSAT1	DDX60L	CD44	SLC12A2
SLC12A2	CSE1L	LGR4	ANLN	ACSL5	RPL28	KRT20	CFH	CMSS1	ZNF143	SNHG8	CENPW	KIF11	TMEM54	OAS3	SNHG8	SLC7A5	NOL4
ACSL5	ATXN1	ATXN1	ACSL5	BRCA2	NUDT4	SLC7A1	LMO4	NUDT4	ARHGAP23	RNF24	SULT2B1	BRCA2	SLC1A1	SBSPON	PKIB	ACYP2	CD44
LMO4	ST3GAL1	SP100	S100P	CDKN2A	ENO1	CA12	IQGAP2	TMPO	HSPA8	RAVER2	GPX2	SKA3	ACSL5	LGR4	TKT	PIK3R1	NSD2
ZNF143	DEK	SELENOF	PLSCR1	IFI44	GNAI1	PSAT1	ALDH1A1	SBSPON	TMPRSS4	RNF213	ACTG1	HJURP	ASPHD1	SH3D19	PNPT1	IFI44	SPRED1
CCNI	ATP1B1	TMEM45B	BIRC5	ARHGAP29	DEK	CFTR	SNCG	RNF24	ARID5B	FA2H	ACSL5	GTSE1	S100P	DEK	JUND	JUND	RFX6
MYRFL	MYRFL	IQGAP2	LGR4	ARHGAP18	PLK2	TRIB3	ENO1	KRT20	TFDP1	NSD2	ECT2	CA12	SARS	TMEM45B	OPTN	SAMHD1	TFDP1
RPL28	LAMB1	ARID5B	IQGAP2	HSPD1	ETS2	PLAUR	ADD3	LGR4	TSPAN3	DDX60	SBSPON	ADAMTS6	PYGB	RBCK1	SLC12A2	INPP1	TAC3
SLC1A1	SBSPON	SARS	SLC7A11	LAP3	GOLIM4	ACTG1	TESC	PTTG1	TESC	HSPA9	SLC12A2	ZNRF3	PAPSS2	ATXN1	OAS1	IFI44L	PITPNC1
