0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
ATP1B1	ATP1B1	PTMA	ECT2	TUBA1B	TM4SF4	POMP	ATP1B1	ADAMTS6	PTMA	LGR4	PTMA	CENPK	PTMA	PTMA	BRCA2	PTMA	TMPO
EPSTI1	EXOSC8	POMP	NUSAP1	BRCA2	IFI44L	TSPAN8	EXOSC8	SMC4	LGR4	TSPAN8	CENPW	SMC4	TM4SF4	ANXA13	PTMA	EPSTI1	ATP1B1
ADAMTS6	POMP	SLC12A2	CENPW	SMC4	EPSTI1	EPSTI1	EPSTI1	PTMA	ADAMTS6	SMC1A	SMC4	BRCA2	MAML2	BRCA2	SASS6	DEK	NSD2
PTMA	SLC12A2	ADAMTS6	POLQ	ATP1B1	PAPSS2	SLC12A2	PTMA	ANXA13	GTF3A	PTMA	ECT2	PTMA	ANXA13	TTK	ECT2	LGR4	ANXA13
SLC12A2	PTMA	EPSTI1	SMC4	CENPK	ANP32E	TMPO	IFI44L	EPSTI1	EPSTI1	ANXA13	ATP1B1	SKA3	EXOSC8	NCAPD3	ANXA13	CDK5RAP2	LGR4
POMP	ANO1	LGR4	TM4SF4	TM4SF4	EXOSC8	PAPSS2	SLC12A2	CENPW	NSD2	SULT2B1	POLQ	MELK	TSPAN8	SKA3	EPSTI1	ANP32E	ENC1
EXOSC8	PAPSS2	TSPAN8	ATP1B1	DIAPH3	ATP1B1	NUCKS1	TOX3	SLC12A2	SULT2B1	ENC1	ADAMTS6	NCAPG	BCAS1	KNL1	ATP1B1	FGF9	ITGB3BP
TOX3	TOX3	TOX3	NDC80	FANCI	PIK3R1	EXOSC8	GTF3A	ATP1B1	POMP	TACC1	TSPAN8	TUBA1B	IQGAP2	CENPJ	NSD2	ATP1B1	PIK3R1
IFI44L	PSIP1	EXOSC8	EPSTI1	CENPN	BTBD16	SAMHD1	NUCKS1	ECT2	RABAC1	CHRNA5	ANXA13	NCAPG2	CHRNA5	TTF2	IFI44L	TACC1	BCAS1
TACC1	DEK	ANXA13	CDK1	NSD2	DEK	CHRNA5	PAPSS2	CDKN3	TM4SF4	TM4SF4	CDK1	CIP2A	PAPSS2	NCAPG	NUCKS1	SIPA1L2	SIPA1L2
NUCKS1	GTF3A	SCML1	ANLN	MELK	CSE1L	S100A10	ENC1	NASP	IQGAP2	IQGAP2	CFTR	POLQ	CFTR	CFTR	PAPSS2	SLC12A2	IQGAP2
ANO1	NUCKS1	TACC1	TOP2A	ANXA13	SNCG	GNAI1	ADAMTS6	TM4SF4	TSPAN8	GTF3A	TTF2	NSD2	FDPS	SPC25	EZH2	ENC1	CFTR
